Year,Actualized emission
Y0,907372520.5918913
Y1,814752458.4928515
Y2,780911736.8825883
Y3,743736844.5357683
Y4,709465734.7792565
Y5,675550754.5676007
Y6,625766367.8177513
Y7,581001911.9034169
Y8,540510395.318476
Y9,503458761.6522961
Y10,468189580.21178174
Y11,435366114.0592455
Y12,407794632.16673493
Y13,380849478.0470584
Y14,352348367.59872186
Y15,325119329.0201903
Y16,296967955.0586981
Y17,270354455.8761959
Y18,245947024.24245685
Y19,226692638.47119796
Y20,208916919.6380007
Y21,193122158.92590493
Y22,178149239.52369958
Y23,163956666.73130482
Y24,150102096.268726
Y25,137276859.11799338
Y26,129859155.87355563
Y27,123123619.90394343
Y28,116759176.12600383
Y29,110725710.48354928
Y30,105009408.71147056
Y31,100010423.20375979
Y32,95210503.18788989
Y33,90678331.65807039
Y34,86431124.50067069
Y35,82274363.67197105
Y36,78370670.59701553
Y37,74638733.90191956
Y38,71085257.1999478
Y39,67682396.82812792
Y40,64459425.55059801
Y41,61406314.56402388
Y42,58482523.77919379
Y43,55699578.08716541
Y44,53024032.28690186
Y45,50547641.49013473
Y46,48154212.75148689
Y47,45775329.83591989
Y48,43570616.720765054
Y49,41505788.48317935
Y50,39529963.35828249
