Year,Actualized cost
Y0,68148060103.0502
Y1,94974693458.7047
Y2,155867372933.1497
Y3,88565201262.2179
Y4,85719966701.21303
Y5,83291640919.86023
Y6,76973141712.44028
Y7,70933871675.4193
Y8,66502195723.418045
Y9,63725140517.032486
Y10,60994143776.865555
Y11,54012553472.32824
Y12,52035124664.976654
Y13,48931075839.35929
Y14,46130042747.50452
Y15,44144535573.653175
Y16,41302220114.42026
Y17,38914152899.49161
Y18,36933462853.087776
Y19,36341041621.99511
Y20,33404489292.802063
Y21,31663497978.685017
Y22,30419662489.190495
Y23,28959854921.672096
Y24,27054428875.99951
Y25,26809200434.111103
Y26,25232505762.814384
Y27,23763335858.49613
Y28,22161726897.97452
Y29,20856734962.136658
Y30,19711156123.345566
Y31,18455484992.02439
Y32,17172818757.659487
Y33,16372127972.555801
Y34,15658652769.032309
Y35,15015776072.201946
Y36,13962158586.13273
Y37,13266627275.9469
Y38,12617237115.411325
Y39,11971230258.404346
Y40,11534400165.016914
Y41,10921795062.636812
Y42,10433387797.029541
Y43,9896104114.243605
Y44,9394132496.42638
Y45,8891474396.633938
Y46,8426120544.230026
Y47,7978268192.228262
Y48,7591563245.2398615
Y49,7225155743.800252
Y50,6925590023.720938
