Year,Actualized emission
Y0,936567587.090291
Y1,828824095.2819138
Y2,758120757.3341782
Y3,705047677.665868
Y4,658590158.0351521
Y5,614866375.4987285
Y6,566311857.9866449
Y7,521473070.6188592
Y8,480219888.0582733
Y9,442241621.2310573
Y10,408090047.4401235
Y11,377674582.0214836
Y12,349642376.6105622
Y13,324645998.470448
Y14,302066803.1861348
Y15,279983554.96234363
Y16,257602283.9756312
Y17,236885541.5562917
Y18,217624984.97158262
Y19,199556373.11831307
Y20,182636514.82137153
Y21,171530832.34598547
Y22,161068692.15890983
Y23,151214698.52060845
Y24,141843333.25036418
Y25,132934680.73132044
Y26,126604457.83935279
Y27,120575674.13271695
Y28,114833975.36449231
Y29,109365690.82332602
Y30,104157800.78412002
Y31,99197905.50868572
Y32,94474195.72255781
Y33,89956205.254889
Y34,85386846.94875719
Y35,81273730.66185492
Y36,77403553.01129046
Y37,73717669.53456236
Y38,70207304.3186308
Y39,66864099.351076975
Y40,63680094.62007329
Y41,60647709.16197457
Y42,57759723.01140435
Y43,55009260.010861285
Y44,52389771.43891553
Y45,49895020.41801473
Y46,47519067.06477602
Y47,45256254.3474057
Y48,43101194.616576836
Y49,41048756.77769217
Y50,39094054.07399262
