,Scenario,Datetime,Region,Technology,Cost,Value
99,scenario1,2035,reg1,SFF_imports,fixed_cost,0.0
100,scenario1,2036,reg1,SFF_imports,fixed_cost,0.0
101,scenario1,2037,reg1,SFF_imports,fixed_cost,0.0
102,scenario1,2038,reg1,SFF_imports,fixed_cost,0.0
103,scenario1,2039,reg1,SFF_imports,fixed_cost,0.0
104,scenario1,2040,reg1,SFF_imports,fixed_cost,0.0
105,scenario1,2020,reg1,OP_imports,fixed_cost,0.0
106,scenario1,2021,reg1,OP_imports,fixed_cost,0.0
107,scenario1,2022,reg1,OP_imports,fixed_cost,0.0
108,scenario1,2023,reg1,OP_imports,fixed_cost,0.0
109,scenario1,2024,reg1,OP_imports,fixed_cost,0.0
110,scenario1,2025,reg1,OP_imports,fixed_cost,0.0
111,scenario1,2026,reg1,OP_imports,fixed_cost,0.0
112,scenario1,2027,reg1,OP_imports,fixed_cost,0.0
113,scenario1,2028,reg1,OP_imports,fixed_cost,0.0
114,scenario1,2029,reg1,OP_imports,fixed_cost,0.0
115,scenario1,2030,reg1,OP_imports,fixed_cost,0.0
116,scenario1,2031,reg1,OP_imports,fixed_cost,0.0
117,scenario1,2032,reg1,OP_imports,fixed_cost,0.0
118,scenario1,2033,reg1,OP_imports,fixed_cost,0.0
119,scenario1,2034,reg1,OP_imports,fixed_cost,0.0
120,scenario1,2035,reg1,OP_imports,fixed_cost,0.0
121,scenario1,2036,reg1,OP_imports,fixed_cost,0.0
122,scenario1,2037,reg1,OP_imports,fixed_cost,0.0
123,scenario1,2038,reg1,OP_imports,fixed_cost,0.0
124,scenario1,2039,reg1,OP_imports,fixed_cost,0.0
125,scenario1,2040,reg1,OP_imports,fixed_cost,0.0
126,scenario1,2020,reg1,BW_production,fixed_cost,0.0
127,scenario1,2021,reg1,BW_production,fixed_cost,0.0
128,scenario1,2022,reg1,BW_production,fixed_cost,0.0
129,scenario1,2023,reg1,BW_production,fixed_cost,0.0
130,scenario1,2024,reg1,BW_production,fixed_cost,0.0
131,scenario1,2025,reg1,BW_production,fixed_cost,0.0
132,scenario1,2026,reg1,BW_production,fixed_cost,0.0
133,scenario1,2027,reg1,BW_production,fixed_cost,0.0
134,scenario1,2028,reg1,BW_production,fixed_cost,0.0
135,scenario1,2029,reg1,BW_production,fixed_cost,0.0
136,scenario1,2030,reg1,BW_production,fixed_cost,0.0
137,scenario1,2031,reg1,BW_production,fixed_cost,0.0
138,scenario1,2032,reg1,BW_production,fixed_cost,0.0
139,scenario1,2033,reg1,BW_production,fixed_cost,0.0
140,scenario1,2034,reg1,BW_production,fixed_cost,0.0
141,scenario1,2035,reg1,BW_production,fixed_cost,0.0
142,scenario1,2036,reg1,BW_production,fixed_cost,0.0
143,scenario1,2037,reg1,BW_production,fixed_cost,0.0
