Year,Actualized emission
Y0,907372520.5918913
Y1,814752458.4928515
Y2,780911736.8825883
Y3,743736844.5357683
Y4,709465734.7792565
Y5,675550754.5676007
Y6,625766367.8177513
Y7,581001911.9034169
Y8,540510395.318476
Y9,503458792.39003545
Y10,468351217.5376343
Y11,435438409.26381606
Y12,406725143.56708
Y13,379735683.6336311
Y14,352742932.383221
Y15,325412143.528459
Y16,297193313.4846626
Y17,271168207.69312835
Y18,247005460.61085343
Y19,227667478.01931745
Y20,209877558.50597292
Y21,194823371.30018312
Y22,180298424.4606279
Y23,166309827.34647977
Y24,153372539.14472914
Y25,141156888.41784847
Y26,133857197.44854933
Y27,126610370.15953855
Y28,120061129.5857435
Y29,113851795.12702116
Y30,107969505.99335647
Y31,102828965.75325221
Y32,97895716.66847667
Y33,93235677.83005781
Y34,88975374.59058717
Y35,84592143.89221463
Y36,80577938.69288525
Y37,76740893.99322404
Y38,73086565.70783243
Y39,69606248.31373203
Y40,66291665.06069713
Y41,63127999.36902032
Y42,60127835.05359474
Y43,57269656.89962223
Y44,54525887.57071384
Y45,52041395.356028594
Y46,49567807.67801956
Y47,47321528.566141635
Y48,44951291.78258668
Y49,42812822.32594662
Y50,40776789.8237103
