Year,Actualized cost
Y0,68148060102.790985
Y1,94974693511.80713
Y2,158993382556.75964
Y3,91125543157.8399
Y4,88182723730.9778
Y5,85496865102.83076
Y6,80486635460.93965
Y7,73683111384.9592
Y8,69067328265.37163
Y9,64680189102.65863
Y10,60115274520.2429
Y11,56364074274.969215
Y12,60275453372.44045
Y13,48327157721.64991
Y14,45551163464.19971
Y15,43575680993.483864
Y16,42854331721.28262
Y17,40502166518.83007
Y18,39477415296.25821
Y19,38211961028.334656
Y20,33770924559.823357
Y21,32178244977.54524
Y22,30753969003.334732
Y23,28819200503.621235
Y24,26992954566.004772
Y25,25854728969.585213
Y26,24502855062.2582
Y27,23122422942.918713
Y28,21547092240.82052
Y29,20322941852.40116
Y30,19291706919.70558
Y31,18348075626.75142
Y32,16921315087.42144
Y33,16118649498.227348
Y34,15299058211.542141
Y35,14298753419.35806
Y36,13620766122.380991
Y37,12961190674.664673
Y38,12329770068.805449
Y39,11701704745.24463
Y40,11276081621.730774
Y41,10733106239.746946
Y42,10425104913.083092
Y43,9682598847.057947
Y44,9163955792.119131
Y45,8677461182.387505
Y46,8181346069.653285
Y47,7780116058.445224
Y48,7386581414.947893
Y49,7114091939.440315
Y50,6853879072.227413
