Year,Actualized cost
Y0,68153634743.81135
Y1,94975744006.35394
Y2,152750904549.36356
Y3,99872479139.28041
Y4,96591382447.6622
Y5,93750735087.04518
Y6,86691676734.60225
Y7,79964445460.8619
Y8,74876055671.50194
Y9,71353356643.68944
Y10,68239364887.583206
Y11,61638361827.834236
Y12,57722038058.59279
Y13,54682554209.90783
Y14,52511193966.10451
Y15,49514805379.696465
Y16,47418747686.88601
Y17,44484621864.74676
Y18,42397039364.12359
Y19,40978440753.618835
Y20,37615647306.99885
Y21,36000450747.40757
Y22,33845968431.966816
Y23,31600945899.04412
Y24,30230863523.54251
Y25,28737626991.20036
Y26,27087018742.06553
Y27,25619051026.995686
Y28,23808212286.784077
Y29,22510230263.75397
Y30,21410950006.61726
Y31,20363315306.90479
Y32,18821186671.09773
Y33,17867228251.98949
Y34,16854853192.552029
Y35,16281314276.625742
Y36,15174309701.184544
Y37,14401168930.153423
Y38,13810785448.60843
Y39,13205105232.46131
Y40,12563951377.699001
Y41,11928591089.958164
Y42,11335814614.325224
Y43,10773534773.096394
Y44,10256490855.715986
Y45,9738018555.606766
Y46,9181434758.342834
Y47,8708979977.204361
Y48,8299023772.363701
Y49,7951774609.312211
Y50,7623700502.665132
