Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150187
Y2,783750383.9971007
Y3,748676297.4518554
Y4,713975718.6886249
Y5,679981741.0037568
Y6,630588041.4541392
Y7,585165719.1385125
Y8,544745031.2259843
Y9,507505035.6375119
Y10,472489597.3167427
Y11,439935489.80877465
Y12,411193277.9900784
Y13,383866849.38591117
Y14,358553604.5678649
Y15,335031816.9381095
Y16,315024129.78208673
Y17,296042363.3935177
Y18,276687448.6178567
Y19,259327028.59942445
Y20,243231294.3410736
Y21,229763869.81000152
Y22,216268513.06933853
Y23,203858945.86577323
Y24,191494267.79333755
Y25,180096578.29021204
Y26,170729225.0951061
Y27,161764573.34162688
Y28,153293704.19805154
Y29,145261479.8849184
Y30,137645788.1889038
Y31,131096549.70127164
Y32,124853856.85835393
Y33,118908435.10319422
Y34,113432642.4178142
Y35,107759997.73341969
Y36,102717577.02467915
Y37,97826263.83302775
Y38,93167870.3171693
Y39,88731305.06397077
Y40,84506004.82282928
Y41,80474989.61866996
Y42,76645243.28668551
Y43,73004206.14545998
Y44,69534054.90869011
Y45,66327455.87783824
Y46,63042937.16606941
Y47,59797267.40328164
Y48,56887780.672256425
Y49,54194190.501648456
Y50,51617362.981998555
