Scenario,Year,Actualized emission
scenario4,Y34,98238550.22432852
scenario4,Y35,93467572.12026328
scenario4,Y36,89121011.43948114
scenario4,Y37,84877153.75188679
scenario4,Y38,80835384.52560647
scenario4,Y39,76967365.63169716
scenario4,Y40,73659808.12436134
scenario4,Y41,70679458.97474168
scenario4,Y42,67404307.55977032
scenario4,Y43,64284752.29089233
scenario4,Y44,61297238.18013077
scenario4,Y45,58654406.76442633
scenario4,Y46,55684912.39391498
scenario4,Y47,52806149.40666318
scenario4,Y48,50383021.51266339
scenario4,Y49,48057824.12454492
scenario4,Y50,46037644.13186102
scenario5,Y0,907372520.5238696
scenario5,Y1,814768024.5275847
scenario5,Y2,780926561.2100142
scenario5,Y3,688112365.2806911
scenario5,Y4,657270363.4793189
scenario5,Y5,628166764.7108394
scenario5,Y6,582975305.607281
scenario5,Y7,540982562.7691116
scenario5,Y8,501722843.9864154
scenario5,Y9,462463086.6863353
scenario5,Y10,432766036.0892925
scenario5,Y11,403282390.0367582
scenario5,Y12,376748475.9423559
scenario5,Y13,351704057.5335437
scenario5,Y14,328700923.6928899
scenario5,Y15,307264410.8299321
scenario5,Y16,285683949.0375556
scenario5,Y17,264327332.08682603
scenario5,Y18,242181545.45849907
scenario5,Y19,222841696.38683385
scenario5,Y20,204449093.60120645
scenario5,Y21,189655240.98245907
scenario5,Y22,174970230.74096093
scenario5,Y23,161380721.86819488
scenario5,Y24,148356236.2824478
scenario5,Y25,136003742.2453009
scenario5,Y26,128333968.036655
scenario5,Y27,121679074.19274324
scenario5,Y28,116299036.5738331
scenario5,Y29,110325504.85861105
scenario5,Y30,104572525.9081226
scenario5,Y31,99589034.07629146
scenario5,Y32,94839108.11958638
scenario5,Y33,90241515.45353945
scenario5,Y34,86017600.45081027
scenario5,Y35,81663568.97960144
scenario5,Y36,77749806.88798538
scenario5,Y37,74028314.21805637
scenario5,Y38,70503156.39814892
scenario5,Y39,67142050.9996953
scenario5,Y40,63835774.95914856
scenario5,Y41,60840670.35947625
scenario5,Y42,57943767.59372392
scenario5,Y43,55169306.957263984
scenario5,Y44,52560153.32398211
scenario5,Y45,50166389.53476888
scenario5,Y46,47628885.855508216
scenario5,Y47,45480867.049824566
scenario5,Y48,43651963.3601053
scenario5,Y49,41969709.70960642
scenario5,Y50,40461351.92451762
scenario6,Y0,907372520.5918912
scenario6,Y1,817298723.9150187
scenario6,Y2,783750383.997101
scenario6,Y3,748676297.4518553
scenario6,Y4,713975718.6886249
scenario6,Y5,679981741.0037568
scenario6,Y6,630588041.4541392
scenario6,Y7,585179649.6410687
scenario6,Y8,544757994.31396
scenario6,Y9,507532564.429367
scenario6,Y10,472516069.3647453
scenario6,Y11,439990332.5285364
scenario6,Y12,411236105.4583064
scenario6,Y13,383895681.3850656
scenario6,Y14,358680067.71961874
scenario6,Y15,335143042.127224
scenario6,Y16,312953492.797022
scenario6,Y17,291243984.63601387
scenario6,Y18,270069273.7139712
scenario6,Y19,251423339.35606888
scenario6,Y20,233128586.4596627
scenario6,Y21,218290300.95656997
scenario6,Y22,203537298.65111375
scenario6,Y23,190079920.13708583
scenario6,Y24,176626479.31197974
scenario6,Y25,164049156.4900459
scenario6,Y26,155513377.56928566
scenario6,Y27,147645141.6517428
scenario6,Y28,140030120.9240445
scenario6,Y29,132736165.05135566
scenario6,Y30,125810042.11510216
scenario6,Y31,119820913.04562882
scenario6,Y32,114115155.28155126
scenario6,Y33,108681100.26814404
scenario6,Y34,103619030.56131358
scenario6,Y35,98483747.85277195
scenario6,Y36,93882820.6613921
scenario6,Y37,89412210.15370676
scenario6,Y38,85154485.8606731
scenario6,Y39,81099510.34349819
scenario6,Y40,77237628.89856969
scenario6,Y41,73535964.52761972
scenario6,Y42,70052612.0628673
scenario6,Y43,66721153.988948494
scenario6,Y44,63559594.08015156
scenario6,Y45,60600011.64185852
scenario6,Y46,57532388.74211411
scenario6,Y47,54546458.21334246
scenario6,Y48,52040353.51447278
scenario6,Y49,49712303.4387812
scenario6,Y50,47640263.410627246
scenario7,Y0,907372520.5918912
scenario7,Y1,817298723.9150186
scenario7,Y2,783750383.9971007
scenario7,Y3,748676297.4518554
scenario7,Y4,713975718.6886249
scenario7,Y5,679981741.0037568
scenario7,Y6,630588041.4541394
scenario7,Y7,585165719.1385125
scenario7,Y8,544745031.2259843
scenario7,Y9,507505406.9642646
scenario7,Y10,472490186.72428656
scenario7,Y11,439936214.5009899
scenario7,Y12,411193756.571635
scenario7,Y13,383866998.1914827
scenario7,Y14,358642714.44465715
scenario7,Y15,335107471.035096
scenario7,Y16,312923472.9695782
scenario7,Y17,291243906.5317898
scenario7,Y18,269968213.2823946
scenario7,Y19,250928714.359276
scenario7,Y20,232853795.0436425
scenario7,Y21,218290001.55094495
scenario7,Y22,203454318.1338241
scenario7,Y23,189932713.79426503
scenario7,Y24,176391610.2846478
scenario7,Y25,163791392.88960668
scenario7,Y26,155195334.90672737
scenario7,Y27,147229122.82540053
scenario7,Y28,139493444.58641526
scenario7,Y29,132496641.2389766
scenario7,Y30,125753860.21576868
scenario7,Y31,119771057.10875525
scenario7,Y32,114067673.43690974
scenario7,Y33,108635879.46372356
scenario7,Y34,103418583.0368413
