Scenario,Year,Actualized cost
scenario4,Y34,16843195590.008884
scenario4,Y35,16269278415.000698
scenario4,Y36,15166537861.081678
scenario4,Y37,14394300434.805826
scenario4,Y38,13797306719.18348
scenario4,Y39,13195719535.339111
scenario4,Y40,12554624554.209185
scenario4,Y41,11931047681.35363
scenario4,Y42,11328669603.203169
scenario4,Y43,10761850407.160397
scenario4,Y44,10249783842.896688
scenario4,Y45,9732611104.329777
scenario4,Y46,9175796395.287292
scenario4,Y47,8703511931.540594
scenario4,Y48,8294082282.165247
scenario4,Y49,7948265650.93744
scenario4,Y50,7621491368.958238
scenario5,Y0,68155120120.825966
scenario5,Y1,107437796664.60242
scenario5,Y2,153002507478.54764
scenario5,Y3,112271705871.73178
scenario5,Y4,108284526161.16109
scenario5,Y5,104875262336.8179
scenario5,Y6,99207142248.4596
scenario5,Y7,89428559514.692
scenario5,Y8,84296447175.57086
scenario5,Y9,79077116233.74704
scenario5,Y10,75538930513.3642
scenario5,Y11,68827290411.46712
scenario5,Y12,64265596139.80458
scenario5,Y13,59844592982.90884
scenario5,Y14,56933559380.57004
scenario5,Y15,55151657229.3138
scenario5,Y16,52347715498.22843
scenario5,Y17,49923152753.7224
scenario5,Y18,47483998013.89616
scenario5,Y19,44434139318.963776
scenario5,Y20,41134857845.34
scenario5,Y21,39168414147.64929
scenario5,Y22,37091549685.21313
scenario5,Y23,34064811194.18475
scenario5,Y24,33580865052.634632
scenario5,Y25,30354820411.29023
scenario5,Y26,31686750548.704445
scenario5,Y27,27415246497.95076
scenario5,Y28,25583382769.091183
scenario5,Y29,24193179558.115448
scenario5,Y30,22854029977.42982
scenario5,Y31,21717967047.5592
scenario5,Y32,20167266686.13145
scenario5,Y33,19420237114.810143
scenario5,Y34,18164632530.849915
scenario5,Y35,17373581959.579735
scenario5,Y36,16176386924.102571
scenario5,Y37,15406607316.898272
scenario5,Y38,14662700509.737038
scenario5,Y39,14044272607.217016
scenario5,Y40,13560591236.083923
scenario5,Y41,12850551312.046743
scenario5,Y42,12213762872.716202
scenario5,Y43,11532237970.633823
scenario5,Y44,10832003062.95408
scenario5,Y45,10264433184.193617
scenario5,Y46,9722019831.401442
scenario5,Y47,9232994512.001348
scenario5,Y48,8806978278.43359
scenario5,Y49,8464328089.854421
scenario5,Y50,8142265640.697406
scenario6,Y0,68127314545.09687
scenario6,Y1,94955765585.73344
scenario6,Y2,150953061749.6096
scenario6,Y3,85792445529.24994
scenario6,Y4,83251457030.97275
scenario6,Y5,80894050646.67896
scenario6,Y6,75147971320.08232
scenario6,Y7,69544840316.33307
scenario6,Y8,64925684015.45316
scenario6,Y9,61680460846.57504
scenario6,Y10,58700797845.25383
scenario6,Y11,53286164839.88775
scenario6,Y12,50143073276.64422
scenario6,Y13,46962518271.85781
scenario6,Y14,45250892836.05619
scenario6,Y15,43327894794.51954
scenario6,Y16,41863652341.36297
scenario6,Y17,39445164423.48373
scenario6,Y18,36934308405.54746
scenario6,Y19,36828445165.62079
scenario6,Y20,33300329093.373
scenario6,Y21,32000440295.574512
scenario6,Y22,30299786578.79742
scenario6,Y23,28585904302.08986
scenario6,Y24,26761971842.68406
scenario6,Y25,25900121371.38347
scenario6,Y26,24325551800.343742
scenario6,Y27,22681288186.17637
scenario6,Y28,21580009978.772854
scenario6,Y29,20379877709.76228
scenario6,Y30,19217318096.496464
scenario6,Y31,18020860728.597862
scenario6,Y32,16865049238.93507
scenario6,Y33,16189751920.5922
scenario6,Y34,15158691932.037546
scenario6,Y35,14527527654.257858
scenario6,Y36,13596262640.094517
scenario6,Y37,12925154926.310862
scenario6,Y38,12300545632.496029
scenario6,Y39,11689756395.887758
scenario6,Y40,11286114107.350931
scenario6,Y41,10709082364.468014
scenario6,Y42,10171497578.401094
scenario6,Y43,9619918970.014332
scenario6,Y44,9169481422.321903
scenario6,Y45,8677180755.162481
scenario6,Y46,8173964195.887583
scenario6,Y47,7749572219.661855
scenario6,Y48,7403082428.983659
scenario6,Y49,7096795920.97264
scenario6,Y50,6805383914.863636
scenario7,Y0,68127314545.096886
scenario7,Y1,94955765585.73344
scenario7,Y2,150953061749.6096
scenario7,Y3,90542329197.93822
scenario7,Y4,87786283859.40817
scenario7,Y5,85218300400.35776
scenario7,Y6,79161949662.80331
scenario7,Y7,73266323320.68648
scenario7,Y8,68390374536.29531
scenario7,Y9,64905422854.294975
scenario7,Y10,61734351384.041824
scenario7,Y11,56075843038.41981
scenario7,Y12,52730142317.64672
scenario7,Y13,49396244403.02659
scenario7,Y14,47529497207.03895
scenario7,Y15,45448848910.56345
scenario7,Y16,43809919762.40026
scenario7,Y17,41198305579.37993
scenario7,Y18,38996437858.96269
scenario7,Y19,38279187958.26644
scenario7,Y20,34591424456.7907
scenario7,Y21,33402594148.85129
scenario7,Y22,31597099771.29641
scenario7,Y23,29801239708.46193
scenario7,Y24,27863350240.47581
scenario7,Y25,26952059595.43453
scenario7,Y26,25355468782.85881
scenario7,Y27,23676126771.0164
scenario7,Y28,22261198583.18707
scenario7,Y29,21091335543.868275
scenario7,Y30,19989565005.158577
scenario7,Y31,18756628632.999542
scenario7,Y32,17565780576.46048
scenario7,Y33,16962137915.938631
scenario7,Y34,15984885282.932022
scenario7,Y35,15097428712.518654
scenario7,Y36,14135099834.244938
scenario7,Y37,13437961478.347189
scenario7,Y38,12777926564.892847
