,Scenario,Datetime,Region,Technology,Emission,Value
97,scenario1,2066,reg1,NG_supply,CO2,56401534.58067683
98,scenario1,2067,reg1,NG_supply,CO2,56474619.27308173
99,scenario1,2068,reg1,NG_supply,CO2,56457654.95800425
100,scenario1,2069,reg1,NG_supply,CO2,56519130.47931035
101,scenario1,2070,reg1,NG_supply,CO2,57251592.98582132
102,scenario1,2020,reg1,SFF_supply,CO2,2757173.0691493764
103,scenario1,2021,reg1,SFF_supply,CO2,2678099.251461628
104,scenario1,2022,reg1,SFF_supply,CO2,2542771.285163799
105,scenario1,2023,reg1,SFF_supply,CO2,2474607.608771012
106,scenario1,2024,reg1,SFF_supply,CO2,2406443.932378224
107,scenario1,2025,reg1,SFF_supply,CO2,2338280.255985434
108,scenario1,2026,reg1,SFF_supply,CO2,2262660.6065457
109,scenario1,2027,reg1,SFF_supply,CO2,2187040.957105963
110,scenario1,2028,reg1,SFF_supply,CO2,2111421.3076662268
111,scenario1,2029,reg1,SFF_supply,CO2,2035801.6582264917
112,scenario1,2030,reg1,SFF_supply,CO2,1960182.008786755
113,scenario1,2031,reg1,SFF_supply,CO2,1884562.3593470189
114,scenario1,2032,reg1,SFF_supply,CO2,1841141.682222869
115,scenario1,2033,reg1,SFF_supply,CO2,1733323.0604675466
116,scenario1,2034,reg1,SFF_supply,CO2,1657703.4110278103
117,scenario1,2035,reg1,SFF_supply,CO2,1582083.7615880745
118,scenario1,2036,reg1,SFF_supply,CO2,1506464.112148338
119,scenario1,2037,reg1,SFF_supply,CO2,1430844.4627086024
120,scenario1,2038,reg1,SFF_supply,CO2,1355224.8132688666
121,scenario1,2039,reg1,SFF_supply,CO2,1279605.16382913
122,scenario1,2040,reg1,SFF_supply,CO2,1203985.5143893936
123,scenario1,2041,reg1,SFF_supply,CO2,1132157.0376853938
124,scenario1,2042,reg1,SFF_supply,CO2,1060328.5609813938
125,scenario1,2043,reg1,SFF_supply,CO2,992815.958414115
126,scenario1,2044,reg1,SFF_supply,CO2,916671.6075733938
127,scenario1,2045,reg1,SFF_supply,CO2,844843.1308693929
128,scenario1,2046,reg1,SFF_supply,CO2,844843.1308693929
129,scenario1,2047,reg1,SFF_supply,CO2,844843.1308693929
130,scenario1,2048,reg1,SFF_supply,CO2,844843.1308693929
131,scenario1,2049,reg1,SFF_supply,CO2,844843.1308693929
132,scenario1,2050,reg1,SFF_supply,CO2,844843.1308693929
133,scenario1,2051,reg1,SFF_supply,CO2,844843.1308693929
134,scenario1,2052,reg1,SFF_supply,CO2,844843.1308693929
135,scenario1,2053,reg1,SFF_supply,CO2,844843.1308693929
136,scenario1,2054,reg1,SFF_supply,CO2,844843.1308693929
137,scenario1,2055,reg1,SFF_supply,CO2,844843.1308693929
138,scenario1,2056,reg1,SFF_supply,CO2,844843.1308693929
139,scenario1,2057,reg1,SFF_supply,CO2,844843.1308693929
140,scenario1,2058,reg1,SFF_supply,CO2,844843.1308693929
141,scenario1,2059,reg1,SFF_supply,CO2,844843.1308693929
142,scenario1,2060,reg1,SFF_supply,CO2,844843.1308693929
143,scenario1,2061,reg1,SFF_supply,CO2,844843.1308693929
144,scenario1,2062,reg1,SFF_supply,CO2,844843.1308693929
145,scenario1,2063,reg1,SFF_supply,CO2,844843.1308693929
146,scenario1,2064,reg1,SFF_supply,CO2,844843.1308693929
147,scenario1,2065,reg1,SFF_supply,CO2,844843.1308693929
148,scenario1,2066,reg1,SFF_supply,CO2,844843.1308693929
149,scenario1,2067,reg1,SFF_supply,CO2,844843.1308693929
150,scenario1,2068,reg1,SFF_supply,CO2,844843.1308693929
151,scenario1,2069,reg1,SFF_supply,CO2,844843.1308693929
152,scenario1,2070,reg1,SFF_supply,CO2,844843.1308693929
153,scenario1,2020,reg1,OP_supply,CO2,0.0
154,scenario1,2021,reg1,OP_supply,CO2,0.0
155,scenario1,2022,reg1,OP_supply,CO2,0.0
156,scenario1,2023,reg1,OP_supply,CO2,0.0
157,scenario1,2024,reg1,OP_supply,CO2,0.0
158,scenario1,2025,reg1,OP_supply,CO2,0.0
159,scenario1,2026,reg1,OP_supply,CO2,0.0
160,scenario1,2027,reg1,OP_supply,CO2,0.0
161,scenario1,2028,reg1,OP_supply,CO2,0.0
162,scenario1,2029,reg1,OP_supply,CO2,0.0
163,scenario1,2030,reg1,OP_supply,CO2,0.0
164,scenario1,2031,reg1,OP_supply,CO2,0.0
165,scenario1,2032,reg1,OP_supply,CO2,0.0
166,scenario1,2033,reg1,OP_supply,CO2,0.0
167,scenario1,2034,reg1,OP_supply,CO2,0.0
168,scenario1,2035,reg1,OP_supply,CO2,0.0
169,scenario1,2036,reg1,OP_supply,CO2,0.0
170,scenario1,2037,reg1,OP_supply,CO2,0.0
171,scenario1,2038,reg1,OP_supply,CO2,0.0
172,scenario1,2039,reg1,OP_supply,CO2,0.0
173,scenario1,2040,reg1,OP_supply,CO2,0.0
174,scenario1,2041,reg1,OP_supply,CO2,0.0
175,scenario1,2042,reg1,OP_supply,CO2,0.0
176,scenario1,2043,reg1,OP_supply,CO2,0.0
177,scenario1,2044,reg1,OP_supply,CO2,0.0
178,scenario1,2045,reg1,OP_supply,CO2,0.0
179,scenario1,2046,reg1,OP_supply,CO2,0.0
180,scenario1,2047,reg1,OP_supply,CO2,0.0
181,scenario1,2048,reg1,OP_supply,CO2,0.0
182,scenario1,2049,reg1,OP_supply,CO2,0.0
183,scenario1,2050,reg1,OP_supply,CO2,0.0
184,scenario1,2051,reg1,OP_supply,CO2,0.0
185,scenario1,2052,reg1,OP_supply,CO2,0.0
186,scenario1,2053,reg1,OP_supply,CO2,0.0
187,scenario1,2054,reg1,OP_supply,CO2,0.0
188,scenario1,2055,reg1,OP_supply,CO2,0.0
189,scenario1,2056,reg1,OP_supply,CO2,0.0
190,scenario1,2057,reg1,OP_supply,CO2,0.0
191,scenario1,2058,reg1,OP_supply,CO2,0.0
192,scenario1,2059,reg1,OP_supply,CO2,0.0
193,scenario1,2060,reg1,OP_supply,CO2,0.0
194,scenario1,2061,reg1,OP_supply,CO2,0.0
195,scenario1,2062,reg1,OP_supply,CO2,0.0
196,scenario1,2063,reg1,OP_supply,CO2,0.0
197,scenario1,2064,reg1,OP_supply,CO2,0.0
198,scenario1,2065,reg1,OP_supply,CO2,0.0
199,scenario1,2066,reg1,OP_supply,CO2,0.0
200,scenario1,2067,reg1,OP_supply,CO2,0.0
201,scenario1,2068,reg1,OP_supply,CO2,0.0
202,scenario1,2069,reg1,OP_supply,CO2,0.0
203,scenario1,2070,reg1,OP_supply,CO2,0.0
204,scenario1,2020,reg1,BW_supply,CO2,0.0
205,scenario1,2021,reg1,BW_supply,CO2,0.0
206,scenario1,2022,reg1,BW_supply,CO2,0.0
207,scenario1,2023,reg1,BW_supply,CO2,0.0
208,scenario1,2024,reg1,BW_supply,CO2,0.0
209,scenario1,2025,reg1,BW_supply,CO2,0.0
210,scenario1,2026,reg1,BW_supply,CO2,0.0
211,scenario1,2027,reg1,BW_supply,CO2,0.0
212,scenario1,2028,reg1,BW_supply,CO2,0.0
213,scenario1,2029,reg1,BW_supply,CO2,0.0
214,scenario1,2030,reg1,BW_supply,CO2,0.0
215,scenario1,2031,reg1,BW_supply,CO2,0.0
216,scenario1,2032,reg1,BW_supply,CO2,0.0
217,scenario1,2033,reg1,BW_supply,CO2,0.0
218,scenario1,2034,reg1,BW_supply,CO2,0.0
219,scenario1,2035,reg1,BW_supply,CO2,0.0
220,scenario1,2036,reg1,BW_supply,CO2,0.0
221,scenario1,2037,reg1,BW_supply,CO2,0.0
222,scenario1,2038,reg1,BW_supply,CO2,0.0
223,scenario1,2039,reg1,BW_supply,CO2,0.0
224,scenario1,2040,reg1,BW_supply,CO2,0.0
225,scenario1,2041,reg1,BW_supply,CO2,0.0
226,scenario1,2042,reg1,BW_supply,CO2,0.0
227,scenario1,2043,reg1,BW_supply,CO2,0.0
228,scenario1,2044,reg1,BW_supply,CO2,0.0
229,scenario1,2045,reg1,BW_supply,CO2,0.0
230,scenario1,2046,reg1,BW_supply,CO2,0.0
231,scenario1,2047,reg1,BW_supply,CO2,0.0
232,scenario1,2048,reg1,BW_supply,CO2,0.0
233,scenario1,2049,reg1,BW_supply,CO2,0.0
234,scenario1,2050,reg1,BW_supply,CO2,0.0
235,scenario1,2051,reg1,BW_supply,CO2,0.0
236,scenario1,2052,reg1,BW_supply,CO2,0.0
237,scenario1,2053,reg1,BW_supply,CO2,0.0
238,scenario1,2054,reg1,BW_supply,CO2,0.0
239,scenario1,2055,reg1,BW_supply,CO2,0.0
240,scenario1,2056,reg1,BW_supply,CO2,0.0
