Year,Actualized cost
Y0,50633370262.529076
Y1,101321597128.70963
Y2,159237450196.89438
Y3,139818068789.22144
Y4,131870452022.22993
Y5,124462371367.74997
Y6,116510957049.53905
Y7,109014795526.91663
Y8,102077669939.47375
Y9,95648389643.70316
Y10,89127721072.4928
Y11,80425142082.36765
Y12,72856324516.1114
Y13,67033966614.294876
Y14,62358572995.0067
Y15,58215788151.47083
Y16,55776388594.515755
Y17,54259568603.81788
Y18,50991125525.77373
Y19,48997128836.413895
Y20,46987375920.94172
Y21,44952051264.418396
Y22,44002870196.31375
Y23,42734593615.98642
Y24,41482470157.508
Y25,40282108990.57002
Y26,37770555303.94154
Y27,35945936490.801
Y28,34225195340.67268
Y29,32552221300.92645
Y30,30969615589.50296
Y31,29016586800.114468
Y32,27581709643.108685
Y33,26213814410.661465
Y34,24911934390.21273
Y35,23654259893.298737
Y36,22085208742.2372
Y37,20883609136.158134
Y38,19870138165.266933
Y39,18894405134.685326
Y40,17971300126.54708
Y41,17529184459.429485
Y42,16771549055.247831
Y43,15817562325.084064
Y44,14994163615.366571
Y45,14215193735.899992
Y46,13457607754.849989
Y47,12766448649.205246
Y48,12075790360.087782
Y49,11416638046.303001
Y50,10789983816.02379
