Year,Actualized emission
Y0,936567587.090291
Y1,828925581.487327
Y2,758268962.6692122
Y3,707164922.2462064
Y4,660359383.9306002
Y5,616208986.1205494
Y6,567202901.5473241
Y7,522392581.7669167
Y8,481023380.62406856
Y9,442831474.05029446
Y10,408684974.0996498
Y11,379351119.6918105
Y12,353063498.97952056
Y13,328486732.21167016
Y14,305688009.79034793
Y15,284736653.0797833
Y16,265605435.96499142
Y17,246051030.33155975
Y18,227803958.75840354
Y19,210724940.87422684
Y20,194272016.72726458
Y21,182687075.24355856
Y22,171665831.6031936
Y23,161411632.8471904
Y24,151749357.23505402
Y25,142523243.2310521
Y26,135736422.1248115
Y27,129272782.97601098
Y28,123116936.16762945
Y29,117254224.92155184
Y30,111670690.40147796
Y31,106353038.47759809
Y32,101288608.07390292
Y33,96465341.02276467
Y34,91871753.35501398
Y35,87593625.29801513
Y36,83422500.28382386
Y37,79450000.27030846
Y38,75666666.92410329
Y39,72063492.30866978
Y40,68631897.43682833
Y41,66112093.33809846
Y42,63747327.7471842
Y43,61415385.577991374
Y44,58580518.41330011
Y45,55816180.77385118
Y46,53658609.1679553
Y47,51103437.30281442
Y48,48669940.28839467
Y49,46352324.08418539
Y50,44145070.556367055
