Year,Actualized emission
Y0,907372520.5238696
Y1,814752458.7749861
Y2,780911736.6837298
Y3,743736844.7906084
Y4,709465734.7206582
Y5,675550754.5896455
Y6,625766367.7736467
Y7,581001911.9185932
Y8,540510395.1716778
Y9,503470026.8605105
Y10,468164425.7224
Y11,435609744.2633331
Y12,408018044.0304646
Y13,380655277.710713
Y14,352750734.1817036
Y15,325533487.75911206
Y16,295108438.37550956
Y17,266243818.5598598
Y18,243611004.28886253
Y19,224234376.44370678
Y20,206401202.97208625
Y21,190233776.56526062
Y22,175327424.67504165
Y23,161613179.073564
Y24,147406993.99927875
Y25,133914759.19119719
Y26,127050469.80261534
Y27,120481832.74426852
Y28,114244846.2857918
Y29,108328657.10285199
Y30,102807843.790063
Y31,97913421.47218102
Y32,93210843.96335232
Y33,88725773.91548078
Y34,84610852.37627986
Y35,80496741.30816945
Y36,76677595.23281416
Y37,73026281.1741087
Y38,69548839.21343689
Y39,66236963.422918625
Y40,63082822.30754157
Y41,60063729.19702321
Y42,57217320.0847461
Y43,54494420.49993208
Y44,51835652.9970757
Y45,49480167.6476267
Y46,47151720.94121603
Y47,44955355.36497968
Y48,42858488.21404806
Y49,40994447.72154002
Y50,39334626.39755802
