Year,Actualized cost
Y0,68127314544.86004
Y1,94955765638.47258
Y2,150953061718.3533
Y3,90542329247.38545
Y4,87786283866.10176
Y5,85218300420.1718
Y6,79161949689.45657
Y7,73266323231.9856
Y8,68387335337.53584
Y9,64906060154.636566
Y10,61729186546.55573
Y11,56077166186.5629
Y12,52734340000.62667
Y13,49400679351.364655
Y14,47547412211.245285
Y15,45522246043.73425
Y16,43852987506.97153
Y17,41265463251.69323
Y18,38961900119.33951
Y19,38353932684.35239
Y20,34616641107.68781
Y21,33423802268.57219
Y22,31613955054.187492
Y23,29810002386.512276
Y24,27864630907.513947
Y25,26927171588.780994
Y26,25325244934.49523
Y27,23654395914.007736
Y28,22242120693.148365
Y29,21068049977.244614
Y30,19973191098.212498
Y31,18739229190.783894
Y32,17549209677.447254
Y33,16946356109.520403
Y34,15980545989.63698
Y35,15080786296.733862
Y36,14119639346.997942
Y37,13423695861.128153
Y38,12764062777.89336
Y39,12126094112.403742
Y40,11710181067.370398
Y41,11120831972.005926
Y42,10551244573.835049
Y43,9999459770.935709
Y44,9511464437.11365
Y45,9018064625.09727
Y46,8501386059.035297
Y47,8074796057.753237
Y48,7697243509.419358
Y49,7384831053.035573
Y50,7080470130.256194
