,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,38300580.563848376
1,2021,reg1,Oil_supply,CO2,39146322.99316468
2,2022,reg1,Oil_supply,CO2,41539638.14424587
3,2023,reg1,Oil_supply,CO2,40837807.851797305
4,2024,reg1,Oil_supply,CO2,41683550.28111362
5,2025,reg1,Oil_supply,CO2,42529292.71042995
6,2026,reg1,Oil_supply,CO2,42343963.512819506
7,2027,reg1,Oil_supply,CO2,42158634.31520908
8,2028,reg1,Oil_supply,CO2,41973305.11759865
9,2029,reg1,Oil_supply,CO2,41787975.919988215
10,2030,reg1,Oil_supply,CO2,41602646.72237778
11,2031,reg1,Oil_supply,CO2,41417317.524767354
12,2032,reg1,Oil_supply,CO2,41231988.32715692
13,2033,reg1,Oil_supply,CO2,41046659.12954649
14,2034,reg1,Oil_supply,CO2,40861329.93193607
15,2035,reg1,Oil_supply,CO2,40691307.016965605
16,2036,reg1,Oil_supply,CO2,36877356.78890828
17,2037,reg1,Oil_supply,CO2,36684953.445200846
18,2038,reg1,Oil_supply,CO2,36508484.75923447
19,2039,reg1,Oil_supply,CO2,36332016.07326807
20,2040,reg1,Oil_supply,CO2,36155547.38730168
21,2041,reg1,Oil_supply,CO2,36147463.51516418
22,2042,reg1,Oil_supply,CO2,36139379.64302666
23,2043,reg1,Oil_supply,CO2,36131295.770889156
24,2044,reg1,Oil_supply,CO2,36123211.898751736
25,2045,reg1,Oil_supply,CO2,36115128.026614234
26,2046,reg1,Oil_supply,CO2,36115128.0266142
27,2047,reg1,Oil_supply,CO2,36115128.0266142
28,2048,reg1,Oil_supply,CO2,36115128.0266142
29,2049,reg1,Oil_supply,CO2,36115128.0266142
30,2050,reg1,Oil_supply,CO2,36115128.0266142
31,2051,reg1,Oil_supply,CO2,36115128.0266142
32,2052,reg1,Oil_supply,CO2,36115128.0266142
33,2053,reg1,Oil_supply,CO2,36115128.0266142
34,2054,reg1,Oil_supply,CO2,36115128.0266142
35,2055,reg1,Oil_supply,CO2,36115128.0266142
36,2056,reg1,Oil_supply,CO2,36115128.0266142
37,2057,reg1,Oil_supply,CO2,36115128.0266142
38,2058,reg1,Oil_supply,CO2,36115128.0266142
39,2059,reg1,Oil_supply,CO2,36115128.0266142
40,2060,reg1,Oil_supply,CO2,36115128.0266142
41,2061,reg1,Oil_supply,CO2,36115128.0266142
42,2062,reg1,Oil_supply,CO2,36115128.0266142
43,2063,reg1,Oil_supply,CO2,36115128.0266142
44,2064,reg1,Oil_supply,CO2,36115128.0266142
45,2065,reg1,Oil_supply,CO2,36115128.0266142
46,2066,reg1,Oil_supply,CO2,36115128.0266142
47,2067,reg1,Oil_supply,CO2,36115128.0266142
48,2068,reg1,Oil_supply,CO2,36115128.0266142
49,2069,reg1,Oil_supply,CO2,36115128.0266142
50,2070,reg1,Oil_supply,CO2,36115128.0266142
51,2020,reg1,NG_supply,CO2,83320299.44716129
52,2021,reg1,NG_supply,CO2,71932986.05643098
53,2022,reg1,NG_supply,CO2,67059214.71250235
54,2023,reg1,NG_supply,CO2,70176949.15441479
55,2024,reg1,NG_supply,CO2,70469901.95558523
56,2025,reg1,NG_supply,CO2,70762854.75675571
57,2026,reg1,NG_supply,CO2,68789318.2500726
58,2027,reg1,NG_supply,CO2,67245363.87780242
59,2028,reg1,NG_supply,CO2,65745743.25664027
60,2029,reg1,NG_supply,CO2,64461265.930309914
61,2030,reg1,NG_supply,CO2,63200153.19193986
62,2031,reg1,NG_supply,CO2,61428245.180763744
63,2032,reg1,NG_supply,CO2,60744738.72095518
64,2033,reg1,NG_supply,CO2,59888442.338545114
65,2034,reg1,NG_supply,CO2,59401941.85583811
66,2035,reg1,NG_supply,CO2,58960263.27448157
67,2036,reg1,NG_supply,CO2,57917413.60243197
68,2037,reg1,NG_supply,CO2,57502791.33481035
69,2038,reg1,NG_supply,CO2,57098517.84404758
70,2039,reg1,NG_supply,CO2,56775057.392460465
71,2040,reg1,NG_supply,CO2,56277315.255849935
72,2041,reg1,NG_supply,CO2,56674578.53822645
73,2042,reg1,NG_supply,CO2,56838485.66214628
74,2043,reg1,NG_supply,CO2,57452275.02937173
75,2044,reg1,NG_supply,CO2,57137796.81116864
76,2045,reg1,NG_supply,CO2,57340508.74148177
77,2046,reg1,NG_supply,CO2,57270439.29494414
78,2047,reg1,NG_supply,CO2,57360041.98263525
79,2048,reg1,NG_supply,CO2,57360041.98263525
80,2049,reg1,NG_supply,CO2,57360041.98263525
81,2050,reg1,NG_supply,CO2,57332126.14587635
82,2051,reg1,NG_supply,CO2,57332126.14587635
83,2052,reg1,NG_supply,CO2,57289227.67540301
84,2053,reg1,NG_supply,CO2,57289227.67540303
85,2054,reg1,NG_supply,CO2,57725415.17256347
86,2055,reg1,NG_supply,CO2,57236913.93678523
87,2056,reg1,NG_supply,CO2,57289227.67540305
88,2057,reg1,NG_supply,CO2,57289227.67540305
89,2058,reg1,NG_supply,CO2,57289227.67540305
