Year,Actualized cost
Y0,50633370262.529076
Y1,101321597128.70963
Y2,159237450196.89438
Y3,98000705351.90169
Y4,93229836672.9302
Y5,88757435576.06801
Y6,83492675846.04927
Y7,78465412043.8145
Y8,73746974816.61623
Y9,69312876331.3681
Y10,62059408626.95659
Y11,55186834519.40751
Y12,51262136133.04676
Y13,46036054033.41388
Y14,42789899027.32811
Y15,39985667023.37612
Y16,38532361442.97737
Y17,36153277977.89768
Y18,35917702037.57225
Y19,34240518673.426544
Y20,32288910764.856483
Y21,30425839063.471127
Y22,29156181817.46532
Y23,28641119147.32038
Y24,27767375992.415623
Y25,26555821550.121292
Y26,24642873302.437397
Y27,23383562939.291943
Y28,22261402827.328377
Y29,21157779913.706722
Y30,20213716409.890236
Y31,18773299838.60451
Y32,17826002198.2655
Y33,16238965928.424706
Y34,15434957396.325418
Y35,14647861040.832825
Y36,13560899001.106356
Y37,12723692827.354153
Y38,12087344870.308662
Y39,11505159668.456509
Y40,10958861952.12194
Y41,10639538275.214888
Y42,10155448335.732466
Y43,9992304506.626112
Y44,9552925514.828665
Y45,9060652891.159313
Y46,8525270083.777053
Y47,8106795770.318861
Y48,7667026047.051005
Y49,7250774948.019667
Y50,6852238520.528939
