Year,Actualized cost
Y0,68121070383.391655
Y1,94954019738.67676
Y2,150951875929.63223
Y3,85790387478.51242
Y4,83249067207.71413
Y5,80891682478.59029
Y6,75131719658.56805
Y7,69541843268.3274
Y8,64924464376.83906
Y9,61678781211.15017
Y10,58513110099.64938
Y11,53306852348.12222
Y12,50265104543.54124
Y13,46980918568.38034
Y14,44579787215.48795
Y15,42522367735.55117
Y16,40509821310.919136
Y17,38302436146.59819
Y18,36434644898.463585
Y19,36226164944.066444
Y20,33137885086.991337
Y21,31542802433.758034
Y22,29440569371.65311
Y23,28288011677.821533
Y24,26481124776.243084
Y25,26354831454.896008
Y26,24781159310.751907
Y27,22952346245.17069
Y28,21732270764.158707
Y29,20541431360.28895
Y30,19364779476.58999
Y31,18176723878.90207
Y32,17017312383.691965
Y33,16229937665.638937
Y34,15372345135.813423
Y35,14637440380.592735
Y36,13723168782.975176
Y37,13043948860.202059
Y38,12391563905.097065
Y39,11789169042.044962
Y40,11334170668.983849
Y41,10733706955.794275
Y42,10223396101.429333
Y43,9697881097.059711
Y44,9224012672.49353
Y45,8725475191.546022
Y46,8259274470.57836
Y47,7819842251.629327
Y48,7441703388.872429
Y49,7081239660.020021
Y50,6784983166.105709
