Year,Actualized emission
Y0,907372520.5918913
Y1,814752458.4928515
Y2,780911736.8825883
Y3,724285783.7772652
Y4,691782952.2715263
Y5,659384958.0013285
Y6,611248190.0040312
Y7,566966756.5971278
Y8,526597223.5516035
Y9,487283557.77185214
Y10,459388798.3067715
Y11,430305513.30799115
Y12,403169242.18020964
Y13,376844361.15943795
Y14,326006287.9064454
Y15,305479369.1050465
Y16,283493385.821499
Y17,262909475.23094758
Y18,242381509.08382154
Y19,222953896.2259014
Y20,205210531.1080614
Y21,187893573.24152926
Y22,172835112.14740324
Y23,159101514.74253303
Y24,146456281.21867356
Y25,134448280.5546349
Y26,127515582.10728562
Y27,120913738.65002623
Y28,114702570.41403769
Y29,108775107.22719596
Y30,103155331.45951054
Y31,98245755.2972864
Y32,93567385.99741562
Y33,89111796.18801488
Y34,84921662.36368856
Y35,80848520.11046611
Y36,76979646.9443096
Y37,73313949.47077106
Y38,69822809.01978196
Y39,66497673.80787526
Y40,63331117.91226216
Y41,60313405.656599276
Y42,57440470.60480165
Y43,54705988.630708195
Y44,52096675.76370577
Y45,49631900.89412351
Y46,47248880.7406517
Y47,44993864.63630604
Y48,42844129.692651756
Y49,40789714.99437901
Y50,38852139.620257296
