Year,Actualized emission
Y0,936567587.090291
Y1,828824095.2819135
Y2,758120757.3341782
Y3,720600075.7188226
Y4,671506653.9472765
Y5,625692183.8742324
Y6,575304084.6608653
Y7,528505341.8743305
Y8,485718346.82676655
Y9,446572698.9082733
Y10,412353100.60915023
Y11,382847171.2504521
Y12,355807283.8920561
Y13,330722286.1782591
Y14,307412994.5664722
Y15,285727124.97737485
Y16,263397258.614968
Y17,242910957.7888428
Y18,222784824.37705734
Y19,203896676.00496766
Y20,186650465.79950628
Y21,175250803.76919833
Y22,164513580.1503947
Y23,154401768.39934382
Y24,144880654.71505114
Y25,135873774.3147284
Y26,129440893.47543982
Y27,123755592.30771604
Y28,117862468.86449143
Y29,112249970.34713472
Y30,106904733.6639378
Y31,101814032.06089315
Y32,96965744.81989817
Y33,92348328.39990306
Y34,87950788.95228863
Y35,83667153.54776572
Y36,79683003.37882447
Y37,75734990.13722333
Y38,72128562.0354508
Y39,68693868.60519123
Y40,65422732.00494403
Y41,62501299.50504903
Y42,59525047.14766577
Y43,56693862.74703497
Y44,53994154.99717617
Y45,51423004.759215385
Y46,48974290.24687178
Y47,46642181.18749695
Y48,44421124.94047326
Y49,42305833.27664122
Y50,40291269.78727735
