Year,Actualized cost
Y0,50633370262.485054
Y1,101321597128.58644
Y2,159237450196.76053
Y3,96560146367.54202
Y4,91940771530.78645
Y5,87609067290.67465
Y6,82455797867.59024
Y7,77525820302.89827
Y8,72894037701.21793
Y9,65850826347.611855
Y10,60486859953.21001
Y11,54870708084.357895
Y12,49915387503.667336
Y13,45897615461.724915
Y14,42679344056.438286
Y15,39814611339.48802
Y16,38037937772.784966
Y17,36017463296.2418
Y18,34075457155.695816
Y19,32730160343.80665
Y20,30881583204.37762
Y21,29982377305.492226
Y22,28882579572.502113
Y23,28297989836.581936
Y24,26992658043.49161
Y25,25801690807.538307
Y26,24049818346.214264
Y27,22818748706.7314
Y28,21723489734.361286
Y29,20645478596.225655
Y30,19725810043.520714
Y31,18308625762.249893
Y32,16949795380.986635
Y33,15817496944.798952
Y34,15013913582.338678
Y35,13873748922.498241
Y36,13107098397.786291
Y37,12430346170.212421
Y38,11797179453.319359
Y39,11228809728.45449
Y40,10693745088.994442
Y41,10419797838.07056
Y42,9982331767.203186
Y43,9640542582.79726
Y44,9151254386.132948
Y45,8689717013.560417
Y46,8215914067.978773
Y47,7851042784.741408
Y48,7425833119.868529
Y49,7010029472.233884
Y50,6627541651.366187
