Year,Actualized cost
Y0,50633370262.485054
Y1,101321597128.58644
Y2,159237450196.76053
Y3,145589976762.9279
Y4,137036299602.43248
Y5,129063958906.85074
Y6,120649815609.07211
Y7,112770635227.74701
Y8,105482144583.38481
Y9,98730161715.62427
Y10,91951710448.83948
Y11,83050063368.30809
Y12,75242895744.89058
Y13,69038137171.93451
Y14,64149287056.98751
Y15,59817586128.665764
Y16,56485977357.22188
Y17,54810878364.00221
Y18,51238753389.47533
Y19,48706872601.05747
Y20,45834952508.76616
Y21,44491937723.431526
Y22,42948880065.68384
Y23,41456954749.82361
Y24,40011915639.893715
Y25,38617166406.2149
Y26,36383593913.45054
Y27,34624636706.99183
Y28,32966895387.345352
Y29,31353747627.93398
Y30,29827848266.033512
Y31,27929866258.78328
Y32,26546436688.745075
Y33,25227903471.963478
Y34,23972898907.59957
Y35,22635484336.20745
Y36,21259834776.98174
Y37,20118074130.72661
Y38,19130315952.486645
Y39,18189755601.384216
Y40,17299981975.70337
Y41,16758618361.57313
Y42,16119805722.898972
Y43,15173439216.43349
Y44,14386154564.845076
Y45,13636816128.396702
Y46,12910643144.71555
Y47,12241790633.06265
Y48,11595688017.238092
Y49,10966883093.290325
Y50,10371011267.11045
