Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150186
Y2,783750383.9971007
Y3,748676297.4518554
Y4,713975718.6886249
Y5,679981741.0037568
Y6,630588041.4541394
Y7,585165719.1385125
Y8,544745031.2259843
Y9,507505406.9642646
Y10,472490186.72428656
Y11,439936214.5009899
Y12,411193756.571635
Y13,383866998.1914827
Y14,358642714.44465715
Y15,335107471.03509593
Y16,312923472.9695782
Y17,291243906.5317898
Y18,269968213.2823946
Y19,250928714.359276
Y20,232853795.04364252
Y21,218290001.55094498
Y22,203454318.13382414
Y23,189932713.79426503
Y24,176391610.2846478
Y25,163791392.88960668
Y26,155195334.90672737
Y27,147229122.82540053
Y28,139493444.58641526
Y29,132496641.23897661
Y30,125753860.21576868
Y31,119771057.10875523
Y32,114067673.43690974
Y33,108635879.46372356
Y34,103418583.0368413
Y35,97967241.5226715
Y36,93391427.88830768
Y37,88944217.0364835
Y38,84708778.12998427
Y39,80675026.79046118
Y40,76833358.84805825
Y41,73164137.07716903
Y42,69685927.2097957
Y43,66380721.32044518
Y44,63220843.3019924
Y45,60324129.03683897
Y46,57275447.727863505
Y47,54437789.95097724
Y48,51928261.4991359
Y49,49601450.61463208
Y50,47482679.85544482
