Year,Actualized cost
Y0,68127314545.096886
Y1,94955765585.73344
Y2,150953061749.6096
Y3,90542329197.93822
Y4,87786283859.40817
Y5,85218300400.35776
Y6,79161949662.80331
Y7,73266323320.68648
Y8,68390374536.29531
Y9,64905422854.294975
Y10,61734351384.041824
Y11,56075843038.41981
Y12,52730142317.64672
Y13,49396244403.02659
Y14,47529497207.03895
Y15,45448848910.56345
Y16,43809919762.40026
Y17,41198305579.37993
Y18,38996437858.96269
Y19,38279187958.26644
Y20,34591424456.7907
Y21,33402594148.85129
Y22,31597099771.29641
Y23,29801239708.461926
Y24,27863350240.475815
Y25,26952059595.43453
Y26,25355468782.85881
Y27,23676126771.0164
Y28,22261198583.18707
Y29,21091335543.868275
Y30,19989565005.158577
Y31,18756628632.999546
Y32,17565780576.46048
Y33,16962137915.938633
Y34,15984885282.932022
Y35,15097428712.518654
Y36,14135099834.244938
Y37,13437961478.347189
Y38,12777926564.892847
Y39,12139033447.934406
Y40,11718433256.646051
Y41,11129914464.514246
Y42,10560500686.166252
Y43,10010679542.48987
Y44,9519340948.595467
Y45,9026697772.164423
Y46,8510928161.518047
Y47,8084573528.47356
Y48,7703132926.036271
Y49,7389751424.039727
Y50,7084669270.6896105
