Year,Actualized emission
Y0,503001518.18647194
Y1,492721835.3284762
Y2,508224084.803257
Y3,506727558.1447594
Y4,533498674.36410606
Y5,534229503.56047285
Y6,514365322.9011518
Y7,492710061.05097175
Y8,466396324.5769498
Y9,454800023.1466948
Y10,443003498.95663214
Y11,418195912.38458633
Y12,402976961.3799414
Y13,397856742.35508686
Y14,392384381.32515204
Y15,379824634.81459963
Y16,373848095.04438436
Y17,370955832.2541946
Y18,369403716.62628984
Y19,354470294.6226872
Y20,348511201.29630154
Y21,334632938.8201835
Y22,340374381.3166478
Y23,336366994.90475476
Y24,337377269.9376945
Y25,338440218.8864848
Y26,347510664.9712882
Y27,362734148.49239486
Y28,370399746.8444249
Y29,379266891.2490399
Y30,387867055.97735685
