Year,Actualized cost
Y0,68121070383.16155
Y1,94954019791.21613
Y2,150951875898.8308
Y3,85790387526.1537
Y4,83249067214.8744
Y5,80891682498.41347
Y6,75131719689.13716
Y7,69541843176.17041
Y8,64923494112.72021
Y9,61678981199.86219
Y10,58699287945.33781
Y11,53284634442.32787
Y12,50141529835.39794
Y13,46964947872.14573
Y14,45259905664.17468
Y15,43417906227.995735
Y16,41887043073.264336
Y17,39292502484.83324
Y18,37418499062.08515
Y19,37058713194.56926
Y20,33927789588.12237
Y21,32511067323.707455
Y22,30681634737.059067
Y23,28606976215.865883
Y24,26552390151.93557
Y25,25627099960.926376
Y26,24098643019.251446
Y27,22385074422.9222
Y28,21233327592.304375
Y29,20166754964.594154
Y30,18997908149.155453
Y31,17817006252.068123
Y32,16671795885.143522
Y33,15995862338.907742
Y34,15034429606.536297
Y35,14347484768.106827
Y36,13420013626.376316
Y37,12761968423.887074
Y38,12139835347.040861
Y39,11547417713.356676
Y40,11127706698.267775
Y41,10599160456.553974
Y42,10044444583.80914
Y43,9520812720.501362
Y44,9037150476.858364
Y45,8538355786.170353
Y46,8069053854.723622
Y47,7648219950.122351
Y48,7289862543.5804615
Y49,7000210378.105103
Y50,6714508634.52236
