,Scenario,Datetime,Region,Technology,Emission,Value
110,planning,2025,reg1,BW_supply,CO2,0.0
111,planning,2026,reg1,BW_supply,CO2,0.0
112,planning,2027,reg1,BW_supply,CO2,0.0
113,planning,2028,reg1,BW_supply,CO2,0.0
114,planning,2029,reg1,BW_supply,CO2,0.0
115,planning,2030,reg1,BW_supply,CO2,0.0
116,planning,2031,reg1,BW_supply,CO2,0.0
117,planning,2032,reg1,BW_supply,CO2,0.0
118,planning,2033,reg1,BW_supply,CO2,0.0
119,planning,2034,reg1,BW_supply,CO2,0.0
120,planning,2035,reg1,BW_supply,CO2,0.0
121,planning,2036,reg1,BW_supply,CO2,0.0
122,planning,2037,reg1,BW_supply,CO2,0.0
123,planning,2038,reg1,BW_supply,CO2,0.0
124,planning,2039,reg1,BW_supply,CO2,0.0
125,planning,2040,reg1,BW_supply,CO2,0.0
126,planning,2019,reg1,Diesel_supply,CO2,0.0
127,planning,2020,reg1,Diesel_supply,CO2,0.0
128,planning,2021,reg1,Diesel_supply,CO2,0.0
129,planning,2022,reg1,Diesel_supply,CO2,0.0
130,planning,2023,reg1,Diesel_supply,CO2,0.0
131,planning,2024,reg1,Diesel_supply,CO2,0.0
132,planning,2025,reg1,Diesel_supply,CO2,0.0
133,planning,2026,reg1,Diesel_supply,CO2,0.0
134,planning,2027,reg1,Diesel_supply,CO2,0.0
135,planning,2028,reg1,Diesel_supply,CO2,0.0
136,planning,2029,reg1,Diesel_supply,CO2,0.0
137,planning,2030,reg1,Diesel_supply,CO2,0.0
138,planning,2031,reg1,Diesel_supply,CO2,0.0
139,planning,2032,reg1,Diesel_supply,CO2,0.0
140,planning,2033,reg1,Diesel_supply,CO2,0.0
141,planning,2034,reg1,Diesel_supply,CO2,0.0
142,planning,2035,reg1,Diesel_supply,CO2,0.0
143,planning,2036,reg1,Diesel_supply,CO2,0.0
144,planning,2037,reg1,Diesel_supply,CO2,0.0
145,planning,2038,reg1,Diesel_supply,CO2,0.0
146,planning,2039,reg1,Diesel_supply,CO2,0.0
147,planning,2040,reg1,Diesel_supply,CO2,0.0
148,planning,2019,reg1,NG_supply,CO2,0.0
149,planning,2020,reg1,NG_supply,CO2,0.0
150,planning,2021,reg1,NG_supply,CO2,0.0
151,planning,2022,reg1,NG_supply,CO2,0.0
152,planning,2023,reg1,NG_supply,CO2,0.0
153,planning,2024,reg1,NG_supply,CO2,0.0
154,planning,2025,reg1,NG_supply,CO2,0.0
155,planning,2026,reg1,NG_supply,CO2,0.0
156,planning,2027,reg1,NG_supply,CO2,0.0
157,planning,2028,reg1,NG_supply,CO2,0.0
158,planning,2029,reg1,NG_supply,CO2,0.0
159,planning,2030,reg1,NG_supply,CO2,0.0
160,planning,2031,reg1,NG_supply,CO2,0.0
161,planning,2032,reg1,NG_supply,CO2,0.0
162,planning,2033,reg1,NG_supply,CO2,0.0
163,planning,2034,reg1,NG_supply,CO2,0.0
164,planning,2035,reg1,NG_supply,CO2,0.0
165,planning,2036,reg1,NG_supply,CO2,0.0
166,planning,2037,reg1,NG_supply,CO2,0.0
167,planning,2038,reg1,NG_supply,CO2,0.0
168,planning,2039,reg1,NG_supply,CO2,0.0
169,planning,2040,reg1,NG_supply,CO2,0.0
170,planning,2019,reg1,Geo_PP,CO2,1732659.3815778978
171,planning,2020,reg1,Geo_PP,CO2,1732659.3815778978
172,planning,2021,reg1,Geo_PP,CO2,1732659.3815778978
173,planning,2022,reg1,Geo_PP,CO2,1732659.3815778978
174,planning,2023,reg1,Geo_PP,CO2,1732659.3815778978
175,planning,2024,reg1,Geo_PP,CO2,1732659.3815778978
176,planning,2025,reg1,Geo_PP,CO2,1607487.328004282
177,planning,2026,reg1,Geo_PP,CO2,1607487.328004282
178,planning,2027,reg1,Geo_PP,CO2,1607487.328004282
179,planning,2028,reg1,Geo_PP,CO2,1607487.328004282
180,planning,2029,reg1,Geo_PP,CO2,1607487.328004282
181,planning,2030,reg1,Geo_PP,CO2,1607487.328004282
182,planning,2031,reg1,Geo_PP,CO2,1607487.328004282
183,planning,2032,reg1,Geo_PP,CO2,1607487.328004282
184,planning,2033,reg1,Geo_PP,CO2,1607487.328004282
185,planning,2034,reg1,Geo_PP,CO2,1607487.328004282
186,planning,2035,reg1,Geo_PP,CO2,1607487.328004282
187,planning,2036,reg1,Geo_PP,CO2,1607487.3280042822
188,planning,2037,reg1,Geo_PP,CO2,1607487.328004282
189,planning,2038,reg1,Geo_PP,CO2,1607487.328004282
190,planning,2039,reg1,Geo_PP,CO2,1607487.3280042822
191,planning,2040,reg1,Geo_PP,CO2,1607487.328004282
192,planning,2019,reg1,Solar_PV_PP,CO2,0.0
193,planning,2020,reg1,Solar_PV_PP,CO2,0.0
194,planning,2021,reg1,Solar_PV_PP,CO2,0.0
195,planning,2022,reg1,Solar_PV_PP,CO2,0.0
196,planning,2023,reg1,Solar_PV_PP,CO2,0.0
197,planning,2024,reg1,Solar_PV_PP,CO2,0.0
198,planning,2025,reg1,Solar_PV_PP,CO2,0.0
199,planning,2026,reg1,Solar_PV_PP,CO2,0.0
200,planning,2027,reg1,Solar_PV_PP,CO2,0.0
201,planning,2028,reg1,Solar_PV_PP,CO2,0.0
202,planning,2029,reg1,Solar_PV_PP,CO2,0.0
203,planning,2030,reg1,Solar_PV_PP,CO2,0.0
204,planning,2031,reg1,Solar_PV_PP,CO2,0.0
205,planning,2032,reg1,Solar_PV_PP,CO2,0.0
206,planning,2033,reg1,Solar_PV_PP,CO2,0.0
207,planning,2034,reg1,Solar_PV_PP,CO2,0.0
208,planning,2035,reg1,Solar_PV_PP,CO2,0.0
209,planning,2036,reg1,Solar_PV_PP,CO2,0.0
210,planning,2037,reg1,Solar_PV_PP,CO2,0.0
211,planning,2038,reg1,Solar_PV_PP,CO2,0.0
212,planning,2039,reg1,Solar_PV_PP,CO2,0.0
213,planning,2040,reg1,Solar_PV_PP,CO2,0.0
214,planning,2019,reg1,Wind_PP,CO2,0.0
215,planning,2020,reg1,Wind_PP,CO2,0.0
216,planning,2021,reg1,Wind_PP,CO2,0.0
217,planning,2022,reg1,Wind_PP,CO2,0.0
218,planning,2023,reg1,Wind_PP,CO2,0.0
219,planning,2024,reg1,Wind_PP,CO2,0.0
220,planning,2025,reg1,Wind_PP,CO2,0.0
221,planning,2026,reg1,Wind_PP,CO2,0.0
222,planning,2027,reg1,Wind_PP,CO2,0.0
223,planning,2028,reg1,Wind_PP,CO2,0.0
224,planning,2029,reg1,Wind_PP,CO2,0.0
225,planning,2030,reg1,Wind_PP,CO2,0.0
226,planning,2031,reg1,Wind_PP,CO2,0.0
227,planning,2032,reg1,Wind_PP,CO2,0.0
228,planning,2033,reg1,Wind_PP,CO2,0.0
229,planning,2034,reg1,Wind_PP,CO2,0.0
230,planning,2035,reg1,Wind_PP,CO2,0.0
231,planning,2036,reg1,Wind_PP,CO2,0.0
232,planning,2037,reg1,Wind_PP,CO2,0.0
233,planning,2038,reg1,Wind_PP,CO2,0.0
234,planning,2039,reg1,Wind_PP,CO2,0.0
235,planning,2040,reg1,Wind_PP,CO2,0.0
236,planning,2019,reg1,S_ROR_Hydro_PP,CO2,0.0
237,planning,2020,reg1,S_ROR_Hydro_PP,CO2,0.0
238,planning,2021,reg1,S_ROR_Hydro_PP,CO2,0.0
239,planning,2022,reg1,S_ROR_Hydro_PP,CO2,0.0
240,planning,2023,reg1,S_ROR_Hydro_PP,CO2,0.0
241,planning,2024,reg1,S_ROR_Hydro_PP,CO2,0.0
242,planning,2025,reg1,S_ROR_Hydro_PP,CO2,0.0
243,planning,2026,reg1,S_ROR_Hydro_PP,CO2,0.0
244,planning,2027,reg1,S_ROR_Hydro_PP,CO2,0.0
245,planning,2028,reg1,S_ROR_Hydro_PP,CO2,0.0
246,planning,2029,reg1,S_ROR_Hydro_PP,CO2,0.0
247,planning,2030,reg1,S_ROR_Hydro_PP,CO2,0.0
248,planning,2031,reg1,S_ROR_Hydro_PP,CO2,0.0
249,planning,2032,reg1,S_ROR_Hydro_PP,CO2,0.0
250,planning,2033,reg1,S_ROR_Hydro_PP,CO2,0.0
251,planning,2034,reg1,S_ROR_Hydro_PP,CO2,0.0
252,planning,2035,reg1,S_ROR_Hydro_PP,CO2,0.0
253,planning,2036,reg1,S_ROR_Hydro_PP,CO2,0.0
254,planning,2037,reg1,S_ROR_Hydro_PP,CO2,0.0
255,planning,2038,reg1,S_ROR_Hydro_PP,CO2,0.0
256,planning,2039,reg1,S_ROR_Hydro_PP,CO2,0.0
257,planning,2040,reg1,S_ROR_Hydro_PP,CO2,0.0
258,planning,2019,reg1,L_ROR_Hydro_PP,CO2,0.0
259,planning,2020,reg1,L_ROR_Hydro_PP,CO2,0.0
260,planning,2021,reg1,L_ROR_Hydro_PP,CO2,0.0
261,planning,2022,reg1,L_ROR_Hydro_PP,CO2,0.0
262,planning,2023,reg1,L_ROR_Hydro_PP,CO2,0.0
263,planning,2024,reg1,L_ROR_Hydro_PP,CO2,0.0
264,planning,2025,reg1,L_ROR_Hydro_PP,CO2,0.0
265,planning,2026,reg1,L_ROR_Hydro_PP,CO2,0.0
266,planning,2027,reg1,L_ROR_Hydro_PP,CO2,0.0
267,planning,2028,reg1,L_ROR_Hydro_PP,CO2,0.0
268,planning,2029,reg1,L_ROR_Hydro_PP,CO2,0.0
269,planning,2030,reg1,L_ROR_Hydro_PP,CO2,0.0
270,planning,2031,reg1,L_ROR_Hydro_PP,CO2,0.0
271,planning,2032,reg1,L_ROR_Hydro_PP,CO2,0.0
272,planning,2033,reg1,L_ROR_Hydro_PP,CO2,0.0
273,planning,2034,reg1,L_ROR_Hydro_PP,CO2,0.0
274,planning,2035,reg1,L_ROR_Hydro_PP,CO2,0.0
275,planning,2036,reg1,L_ROR_Hydro_PP,CO2,0.0
276,planning,2037,reg1,L_ROR_Hydro_PP,CO2,0.0
277,planning,2038,reg1,L_ROR_Hydro_PP,CO2,0.0
278,planning,2039,reg1,L_ROR_Hydro_PP,CO2,0.0
279,planning,2040,reg1,L_ROR_Hydro_PP,CO2,0.0
280,planning,2019,reg1,L_DAM_Hydro_PP,CO2,0.0
281,planning,2020,reg1,L_DAM_Hydro_PP,CO2,0.0
282,planning,2021,reg1,L_DAM_Hydro_PP,CO2,0.0
283,planning,2022,reg1,L_DAM_Hydro_PP,CO2,0.0
284,planning,2023,reg1,L_DAM_Hydro_PP,CO2,0.0
285,planning,2024,reg1,L_DAM_Hydro_PP,CO2,0.0
286,planning,2025,reg1,L_DAM_Hydro_PP,CO2,0.0
287,planning,2026,reg1,L_DAM_Hydro_PP,CO2,0.0
288,planning,2027,reg1,L_DAM_Hydro_PP,CO2,0.0
289,planning,2028,reg1,L_DAM_Hydro_PP,CO2,0.0
290,planning,2029,reg1,L_DAM_Hydro_PP,CO2,0.0
291,planning,2030,reg1,L_DAM_Hydro_PP,CO2,0.0
292,planning,2031,reg1,L_DAM_Hydro_PP,CO2,0.0
293,planning,2032,reg1,L_DAM_Hydro_PP,CO2,0.0
294,planning,2033,reg1,L_DAM_Hydro_PP,CO2,0.0
295,planning,2034,reg1,L_DAM_Hydro_PP,CO2,0.0
296,planning,2035,reg1,L_DAM_Hydro_PP,CO2,0.0
297,planning,2036,reg1,L_DAM_Hydro_PP,CO2,0.0
298,planning,2037,reg1,L_DAM_Hydro_PP,CO2,0.0
299,planning,2038,reg1,L_DAM_Hydro_PP,CO2,0.0
300,planning,2039,reg1,L_DAM_Hydro_PP,CO2,0.0
301,planning,2040,reg1,L_DAM_Hydro_PP,CO2,0.0
302,planning,2019,reg1,HFO_PP,CO2,0.0
303,planning,2020,reg1,HFO_PP,CO2,0.0
304,planning,2021,reg1,HFO_PP,CO2,0.0
305,planning,2022,reg1,HFO_PP,CO2,0.0
306,planning,2023,reg1,HFO_PP,CO2,0.0
307,planning,2024,reg1,HFO_PP,CO2,0.0
308,planning,2025,reg1,HFO_PP,CO2,0.0
309,planning,2026,reg1,HFO_PP,CO2,0.0
310,planning,2027,reg1,HFO_PP,CO2,0.0
311,planning,2028,reg1,HFO_PP,CO2,0.0
312,planning,2029,reg1,HFO_PP,CO2,0.0
313,planning,2030,reg1,HFO_PP,CO2,0.0
