,Scenario,Datetime,Region,Technology,Cost,Value
96,operation,2019,reg3,Kerosene_supply,variable_cost,0.0
97,operation,2019,reg3,Oil_supply,variable_cost,0.0
98,operation,2019,reg3,BW_supply,variable_cost,46925568.0
99,operation,2019,reg3,Diesel_supply,variable_cost,0.0
100,operation,2019,reg3,Geo_PP,variable_cost,0.0
101,operation,2019,reg3,Solar_PV_PP,variable_cost,0.0
102,operation,2019,reg3,Wind_PP,variable_cost,0.0
103,operation,2019,reg3,S_ROR_Hydro_PP,variable_cost,12578.52
104,operation,2019,reg3,L_ROR_Hydro_PP,variable_cost,34840.95130344001
105,operation,2019,reg3,L_DAM_Hydro_PP,variable_cost,611688.9
106,operation,2019,reg3,HFO_PP,variable_cost,0.0
107,operation,2019,reg3,HFO_CC_PP,variable_cost,0.0
108,operation,2019,reg3,KGT_PP,variable_cost,0.0
109,operation,2019,reg3,BW_PP,variable_cost,2522249.28
110,operation,2019,reg3,Diesel_engine_pp,variable_cost,0.0
111,operation,2019,reg3,Elec_transmission_distribution,variable_cost,782815.7194683121
112,operation,2019,reg4,Kerosene_supply,variable_cost,0.0
113,operation,2019,reg4,Oil_supply,variable_cost,0.0
114,operation,2019,reg4,BW_supply,variable_cost,0.0
115,operation,2019,reg4,Diesel_supply,variable_cost,0.0
116,operation,2019,reg4,Geo_PP,variable_cost,0.0
117,operation,2019,reg4,Solar_PV_PP,variable_cost,0.0
118,operation,2019,reg4,Wind_PP,variable_cost,0.0
119,operation,2019,reg4,S_ROR_Hydro_PP,variable_cost,0.0
120,operation,2019,reg4,L_ROR_Hydro_PP,variable_cost,115459.2
121,operation,2019,reg4,L_DAM_Hydro_PP,variable_cost,254398.29923592
122,operation,2019,reg4,HFO_PP,variable_cost,0.0
123,operation,2019,reg4,HFO_CC_PP,variable_cost,0.0
124,operation,2019,reg4,KGT_PP,variable_cost,0.0
125,operation,2019,reg4,BW_PP,variable_cost,0.0
126,operation,2019,reg4,Diesel_engine_pp,variable_cost,0.0
127,operation,2019,reg4,Elec_transmission_distribution,variable_cost,85215.16782395597
128,operation,2019,reg1,Kerosene_supply,fix_tax_cost,0.0
129,operation,2019,reg1,Oil_supply,fix_tax_cost,0.0
130,operation,2019,reg1,BW_supply,fix_tax_cost,0.0
131,operation,2019,reg1,Diesel_supply,fix_tax_cost,0.0
132,operation,2019,reg1,Geo_PP,fix_tax_cost,0.0
133,operation,2019,reg1,Solar_PV_PP,fix_tax_cost,0.0
134,operation,2019,reg1,Wind_PP,fix_tax_cost,0.0
135,operation,2019,reg1,S_ROR_Hydro_PP,fix_tax_cost,0.0
136,operation,2019,reg1,L_ROR_Hydro_PP,fix_tax_cost,0.0
137,operation,2019,reg1,L_DAM_Hydro_PP,fix_tax_cost,0.0
138,operation,2019,reg1,HFO_PP,fix_tax_cost,0.0
139,operation,2019,reg1,HFO_CC_PP,fix_tax_cost,0.0
140,operation,2019,reg1,KGT_PP,fix_tax_cost,0.0
141,operation,2019,reg1,BW_PP,fix_tax_cost,0.0
