Year_name,,SFF_PP,Oil_PP,NG_PP,BW_PP
2015,1,0.0,293747.5,0.0,0.0
2015,2,0.0,207743.7018394975,0.0,0.0
2015,3,0.0,199063.60133698492,0.0,0.0
2015,4,0.0,191901.3651560804,0.0,0.0
2015,5,0.0,169545.0,0.0,0.0
2015,6,0.0,200942.24455306533,0.0,0.0
2015,7,0.0,160635.0,0.0,0.0
2015,8,0.0,157615.0,0.0,0.0
2015,9,0.0,286502.5,0.0,0.0
2015,10,0.0,173660.0,0.0,0.0
2015,11,0.0,287842.5,0.0,0.0
2015,12,0.0,285687.5,0.0,0.0
2015,13,0.0,165000.0,0.0,0.0
2015,14,0.0,182443.4467301485,0.0,0.0
2015,15,0.0,281287.5,0.0,0.0
2015,16,0.0,284857.5,0.0,0.0
2015,17,0.0,192172.6884726633,0.0,0.0
2015,18,0.0,199949.62314603015,0.0,0.0
2015,19,0.0,224924.54675557787,0.0,0.0
2015,20,0.0,252006.04500029853,0.0,0.0
2015,21,0.0,205495.0,0.0,0.0
2015,22,0.0,200575.0,0.0,0.0
2015,23,0.0,281455.8400301485,0.0,0.0
2015,24,0.0,170745.42716613066,0.0,0.0
2015,25,0.0,166826.80907869348,0.0,0.0
2015,26,0.0,162880.0,0.0,0.0
2015,27,0.0,162140.0,0.0,0.0
2015,28,0.0,155025.0,0.0,0.0
2015,29,0.0,154290.0,0.0,0.0
2015,30,0.0,156948.3668676382,0.0,0.0
2015,31,0.0,146865.0,0.0,0.0
2015,32,0.0,273762.5,0.0,0.0
2015,33,0.0,177410.0,0.0,0.0
2015,34,0.0,185000.0,0.0,0.0
2015,35,0.0,190750.0,0.0,0.0
2015,36,0.0,191045.0,0.0,0.0
2015,37,0.0,146200.9350331335,0.0,0.0
2015,38,0.0,107150.1225,0.0,0.0
2015,39,0.0,187555.0,0.0,0.0
2015,40,0.0,187920.0,0.0,0.0
2015,41,0.0,190085.0,0.0,0.0
2015,42,0.0,189353.5850331335,0.0,0.0
2015,43,0.0,229148.8250331335,0.0,0.0
2015,44,0.0,280499.90503313346,0.0,0.0
2015,45,0.0,244884.7550331335,0.0,0.0
2015,46,0.0,240136.2100331335,0.0,0.0
2015,47,0.0,201660.0,0.0,0.0
2015,48,0.0,301539.84503313346,0.0,0.0
2015,49,0.0,159980.0,0.0,0.0
2015,50,0.0,153050.0,0.0,0.0
2015,51,0.0,172271.35682040203,0.0,0.0
2015,52,0.0,166364.72365457288,0.0,0.0
2015,53,0.0,159649.2965188945,0.0,0.0
2015,54,0.0,288239.18345356785,0.0,0.0
2015,55,0.0,255487.5,0.0,0.0
2015,56,0.0,220330.96003611851,0.0,0.0
2015,57,0.0,230709.29503611848,0.0,0.0
2015,58,0.0,211848.5100659685,0.0,0.0
2015,59,0.0,215746.8300659685,0.0,0.0
2015,60,0.0,197804.12006596843,0.0,0.0
2015,61,0.0,209597.05006596842,0.0,0.0
2015,62,0.0,199915.5100659685,0.0,0.0
2015,63,0.0,276682.5,0.0,0.0
2015,64,0.0,184582.30006596848,0.0,0.0
2015,65,0.0,282417.5,0.0,0.0
2015,66,0.0,195299.1200361185,0.0,0.0
2015,67,0.0,289807.5,0.0,0.0
2015,68,0.0,254893.25006596855,0.0,0.0
2015,69,0.0,267364.0750659685,0.0,0.0
2015,70,0.0,229050.92006596853,0.0,0.0
2015,71,0.0,262932.09506596846,0.0,0.0
2015,72,0.0,286327.5,0.0,0.0
2015,73,0.0,202945.12559768843,0.0,0.0
2015,74,0.0,157621.658261005,0.0,0.0
2015,75,0.0,164386.85926603017,0.0,0.0
2015,76,0.0,157560.35172834172,0.0,0.0
2015,77,0.0,157140.0,0.0,0.0
2015,78,0.0,161995.0,0.0,0.0
2015,79,0.0,310827.6255976884,0.0,0.0
2015,80,0.0,270775.8165524623,0.0,0.0
2015,81,0.0,182620.6199698515,0.0,0.0
2015,82,0.0,171525.0,0.0,0.0
2015,83,0.0,231239.5249698515,0.0,0.0
2015,84,0.0,177087.0299698515,0.0,0.0
2015,85,0.0,285002.5,0.0,0.0
2015,86,0.0,159464.45496985153,0.0,0.0
2015,87,0.0,243320.7349698515,0.0,0.0
2015,88,0.0,176045.18496985146,0.0,0.0
2015,89,0.0,175695.0,0.0,0.0
2015,90,0.0,174010.0,0.0,0.0
2015,91,0.0,184050.1799698515,0.0,0.0
2015,92,0.0,218198.06999970158,0.0,0.0
2015,93,0.0,228472.38999970153,0.0,0.0
2015,94,0.0,159858.2199997015,0.0,0.0
2015,95,0.0,248717.7349698515,0.0,0.0
2015,96,0.0,287287.5,0.0,0.0
2015,97,0.0,160735.0,0.0,0.0
2015,98,0.0,152420.0,0.0,0.0
2015,99,0.0,151620.0,0.0,0.0
2015,100,0.0,151100.0,0.0,0.0
2015,101,0.0,152350.0,0.0,0.0
2015,102,0.0,156435.0,0.0,0.0
2015,103,0.0,274412.5,0.0,0.0
