Year_name,,Elec_transmission_distribution
2015,1,302747.3566048241
2015,2,365928.5417
2015,3,346018.5417
2015,4,332958.5417
2015,5,337783.047559598
2015,6,329598.5417
2015,7,354735.3346136485
2015,8,378838.8221136485
2015,9,286882.4796136485
2015,10,366280.5046136485
2015,11,253752.8406221485
2015,12,278444.2667301485
2015,13,397728.3217301485
2015,14,399000.0
2015,15,296815.5017301485
2015,16,270753.2367301485
2015,17,377488.5417
2015,18,377798.5417
2015,19,425375.0
2015,20,409371.04169999994
2015,21,439938.9567002985
2015,22,435968.81670029846
2015,23,311751.0417
2015,24,365198.5417
2015,25,320154.75
2015,26,300131.9100331335
2015,27,294598.6950331335
2015,28,286699.2900331335
2015,29,282622.2100331335
2015,30,305924.75
2015,31,367228.77013396984
2015,32,239294.33003313353
2015,33,319320.0950331335
2015,34,359994.8000331335
2015,35,352183.6400331335
2015,36,341295.0950331335
2015,37,396637.25
2015,38,421303.09753313346
2015,39,398960.69003313355
2015,40,384745.3250331335
2015,41,408932.9050331335
2015,42,407950.0
2015,43,393650.0
2015,44,461300.0
2015,45,464075.0
2015,46,460075.0
2015,47,416066.26003313344
2015,48,319307.25
2015,49,415584.82415708544
2015,50,386091.9598354774
2015,51,345810.0
2015,52,352720.0
2015,53,352960.0
2015,54,241982.5
2015,55,325295.4146093468
2015,56,379450.0
2015,57,385850.0
2015,58,392950.0
2015,59,396425.0
2015,60,397300.0
2015,61,399875.0
2015,62,398325.0
2015,63,312516.1050659685
2015,64,425450.0
2015,65,338216.09503611847
2015,66,430850.0
2015,67,356852.6300659685
2015,68,430375.0
2015,69,424175.0
2015,70,421100.0
2015,71,380602.5
2015,72,341151.1935038191
2015,73,383075.0
2015,74,375325.0
2015,75,347760.0
2015,76,347730.0
2015,77,347020.9949698515
2015,78,372126.48238160805
2015,79,262352.5
2015,80,309212.5
2015,81,410000.0
2015,82,414762.83996985154
2015,83,361162.5
2015,84,421050.0
2015,85,298330.0099698515
2015,86,397925.0
2015,87,329342.5
2015,88,404650.0
2015,89,408669.3999698515
2015,90,399412.8199698515
2015,91,443100.0
2015,92,451475.0
2015,93,463225.0
2015,94,450500.0
2015,95,363902.5
2015,96,308911.6959494472
2015,97,352521.5017
2015,98,321937.4067
2015,99,314355.5067
2015,100,310293.9417
2015,101,308253.3367
2015,102,361659.7567
2015,103,327968.7571522613
2015,104,411050.0
2015,105,413025.0
2015,106,412000.0
2015,107,415000.0
2015,108,394000.0
2015,109,398025.0
2015,110,397300.0
2015,111,420475.0
2015,112,424200.0
2015,113,424175.0
2015,114,425150.0
2015,115,422200.0
2015,116,468232.31063749996
2015,117,440950.0
2015,118,434800.0
2015,119,427500.0
2015,120,365987.24961457285
2015,121,387525.0
2015,122,304049.9603936683
2015,123,299519.4076298492
2015,124,287557.0960720603
2015,125,272772.875
2015,126,322362.875
2015,127,411894.95496686647
2015,128,425625.0
2015,129,422950.0
2015,130,433475.0
2015,131,435475.0
2015,132,354629.5649668665
2015,133,358535.26496686647
2015,134,419925.0
2015,135,421950.0
2015,136,420250.0
2015,137,396951.8249668665
2015,138,400875.0
2015,139,383375.0
2015,140,462591.6690293665
2015,141,466824.8001543665
2015,142,464125.0
2015,143,449925.0
2015,144,341481.05996686645
2015,145,300615.6667
2015,146,380325.0
2015,147,308098.7319961809
2015,148,285445.6667
2015,149,310450.5912926633
2015,150,324291.6366698515
2015,151,372974.47166985145
2015,152,428450.0
2015,153,439025.0
2015,154,361974.73669970146
2015,155,442875.0
2015,156,444975.0
2015,157,443775.0
2015,158,444400.0
2015,159,444900.0
2015,160,446625.0
2015,161,451600.0
2015,162,430825.0
2015,163,445333.5731372014
2015,164,486215.4516997015
2015,165,483910.64669970144
2015,166,429275.0
2015,167,413125.0
2015,168,407625.0
2015,169,402275.0
2015,170,397600.0
2015,171,288264.5833
2015,172,398325.0
2015,173,400250.0
2015,174,352204.5833
2015,175,423325.0
2015,176,401575.0
2015,177,428300.0
2015,178,408737.0533328351
2015,179,450516.25580000004
2015,180,430165.9783328351
2015,181,439523.613332835
2015,182,438248.4308000001
2015,183,397487.51833283505
2015,184,418512.45833283506
2015,185,424885.5998328351
2015,186,444575.0
2015,187,433500.0
2015,188,465642.8882703351
2015,189,458853.3802703351
2015,190,436425.0
2015,191,420575.0
2015,192,409275.0
2015,193,416600.0
2015,194,423170.0
2015,195,410940.0
2015,196,402275.0
2015,197,291002.5
2015,198,317800.525
2015,199,426975.0
2015,200,353450.975
2015,201,425050.0
2015,202,446425.0
2015,203,455850.0
2015,204,453325.0
2015,205,455250.0
2015,206,454125.0
2015,207,452050.0
2015,208,452900.0
2015,209,453100.0
2015,210,433175.0
2015,211,416300.0
2015,212,492075.0
2015,213,451732.9805625
2015,214,440175.0
2015,215,435125.0
2015,216,382892.5
2015,217,399950.0
2015,218,396900.0
2015,219,397225.0
2015,220,397800.0
2015,221,293617.6880567839
2015,222,331355.024740201
2015,223,399550.0
2015,224,422575.0
2015,225,460100.0
2015,226,461000.0
2015,227,464050.0
2015,228,458200.0
2015,229,452400.0
2015,230,454625.0
2015,231,448050.0
2015,232,432175.0
2015,233,432850.0
2015,234,441225.0
2015,235,441150.0
2015,236,451700.0
2015,237,451625.0
2015,238,450500.0
2015,239,429300.0
2015,240,351153.4167
2015,241,402650.0
2015,242,392975.0
2015,243,374300.0
2015,244,374450.0
2015,245,373850.0
2015,246,375250.0
2015,247,294907.9583
2015,248,354307.4557844221
2015,249,326650.978297015
2015,250,317278.683297015
2015,251,343907.9583
2015,252,348787.9583
2015,253,347987.9583
2015,254,349547.9583
2015,255,419925.0
2015,256,420200.0
2015,257,343967.9583
2015,258,343997.9583
2015,259,403867.9583
2015,260,444975.0
2015,261,456950.0
2015,262,454775.0
2015,263,357167.9583
2015,264,387825.0
2015,265,356237.0833
2015,266,331427.0683301485
2015,267,324053.6733301485
2015,268,321514.9733301485
2015,269,337657.38333014847
2015,270,399525.0
2015,271,434175.0
2015,272,439800.0
2015,273,441200.0
2015,274,440225.0
2015,275,440225.0
2015,276,440050.0
2015,277,441650.0
2015,278,439875.0
2015,279,448075.0
2015,280,445625.0
2015,281,443050.0
2015,282,442875.0
2015,283,434025.0
2015,284,476363.9783002985
2015,285,470343.63580029854
2015,286,463300.0
2015,287,436075.0
