,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,40861642.58733121
1,2021,reg1,Oil_supply,CO2,40838016.51198452
2,2022,reg1,Oil_supply,CO2,41865510.29543709
3,2023,reg1,Oil_supply,CO2,40884699.92525117
4,2024,reg1,Oil_supply,CO2,40885793.1375316
5,2025,reg1,Oil_supply,CO2,40872046.06705901
6,2026,reg1,Oil_supply,CO2,39773536.79754536
7,2027,reg1,Oil_supply,CO2,38654258.95108588
8,2028,reg1,Oil_supply,CO2,37514204.877244204
9,2029,reg1,Oil_supply,CO2,36353366.288115524
10,2030,reg1,Oil_supply,CO2,35171734.1906017
11,2031,reg1,Oil_supply,CO2,34787389.21182442
12,2032,reg1,Oil_supply,CO2,34406985.853617646
13,2033,reg1,Oil_supply,CO2,34030524.11557155
14,2034,reg1,Oil_supply,CO2,33658003.99802366
15,2035,reg1,Oil_supply,CO2,33349649.000513308
16,2036,reg1,Oil_supply,CO2,32371365.608725514
17,2037,reg1,Oil_supply,CO2,31342965.46953822
18,2038,reg1,Oil_supply,CO2,28682388.613595337
19,2039,reg1,Oil_supply,CO2,26530136.658938155
20,2040,reg1,Oil_supply,CO2,25584075.302118346
21,2041,reg1,Oil_supply,CO2,24706736.447992276
22,2042,reg1,Oil_supply,CO2,23832466.97360751
23,2043,reg1,Oil_supply,CO2,22958197.499222744
24,2044,reg1,Oil_supply,CO2,22083928.02483802
25,2045,reg1,Oil_supply,CO2,21209658.550453257
26,2046,reg1,Oil_supply,CO2,21209658.55045323
27,2047,reg1,Oil_supply,CO2,21209658.55045323
28,2048,reg1,Oil_supply,CO2,21209658.55045323
29,2049,reg1,Oil_supply,CO2,21209658.550453234
30,2050,reg1,Oil_supply,CO2,21209658.55045323
31,2051,reg1,Oil_supply,CO2,21209658.55045323
32,2052,reg1,Oil_supply,CO2,21209658.55045323
33,2053,reg1,Oil_supply,CO2,21209658.55045323
34,2054,reg1,Oil_supply,CO2,21209658.55045323
35,2055,reg1,Oil_supply,CO2,21209658.550453193
36,2056,reg1,Oil_supply,CO2,21209658.55045323
37,2057,reg1,Oil_supply,CO2,21209658.55045323
38,2058,reg1,Oil_supply,CO2,21209658.55045323
39,2059,reg1,Oil_supply,CO2,21209658.55045323
40,2060,reg1,Oil_supply,CO2,21209658.550453223
41,2061,reg1,Oil_supply,CO2,21209658.55045323
42,2062,reg1,Oil_supply,CO2,21209658.55045323
43,2063,reg1,Oil_supply,CO2,21209658.55045323
44,2064,reg1,Oil_supply,CO2,21209658.55045323
45,2065,reg1,Oil_supply,CO2,21209658.55045323
46,2066,reg1,Oil_supply,CO2,21209658.55045323
47,2067,reg1,Oil_supply,CO2,21209658.55045323
48,2068,reg1,Oil_supply,CO2,21209658.55045323
49,2069,reg1,Oil_supply,CO2,21209658.55045323
50,2070,reg1,Oil_supply,CO2,21209658.550453234
51,2020,reg1,NG_supply,CO2,83292366.57070859
52,2021,reg1,NG_supply,CO2,71256699.7071199
53,2022,reg1,NG_supply,CO2,66583322.404306
54,2023,reg1,NG_supply,CO2,65629866.249435976
55,2024,reg1,NG_supply,CO2,63311807.2027244
56,2025,reg1,NG_supply,CO2,61054479.960767925
57,2026,reg1,NG_supply,CO2,59771552.55068715
58,2027,reg1,NG_supply,CO2,58752865.26050747
59,2028,reg1,NG_supply,CO2,57880656.94024938
60,2029,reg1,NG_supply,CO2,57140523.28601556
61,2030,reg1,NG_supply,CO2,56475296.29357138
62,2031,reg1,NG_supply,CO2,55105926.82410867
63,2032,reg1,NG_supply,CO2,54166789.65404526
64,2033,reg1,NG_supply,CO2,52582022.73681836
65,2034,reg1,NG_supply,CO2,51438610.529571146
66,2035,reg1,NG_supply,CO2,50226487.40602677
67,2036,reg1,NG_supply,CO2,50171271.65078332
68,2037,reg1,NG_supply,CO2,49960651.68052808
69,2038,reg1,NG_supply,CO2,50003050.213019095
70,2039,reg1,NG_supply,CO2,49880097.93481331
71,2040,reg1,NG_supply,CO2,49825593.06080564
72,2041,reg1,NG_supply,CO2,51771439.10263123
73,2042,reg1,NG_supply,CO2,53298807.441379085
74,2043,reg1,NG_supply,CO2,55709051.60953767
75,2044,reg1,NG_supply,CO2,56307660.0821349
76,2045,reg1,NG_supply,CO2,57718522.06777147
77,2046,reg1,NG_supply,CO2,57775464.905079246
78,2047,reg1,NG_supply,CO2,57797497.88945312
79,2048,reg1,NG_supply,CO2,57797497.88945312
80,2049,reg1,NG_supply,CO2,57797497.88945311
81,2050,reg1,NG_supply,CO2,57797497.88945312
82,2051,reg1,NG_supply,CO2,57797475.03393366
83,2052,reg1,NG_supply,CO2,57757442.33345383
84,2053,reg1,NG_supply,CO2,57757532.43731027
85,2054,reg1,NG_supply,CO2,58515897.383758746
86,2055,reg1,NG_supply,CO2,57666813.26991466
87,2056,reg1,NG_supply,CO2,57757532.43731027
88,2057,reg1,NG_supply,CO2,57757532.43731027
89,2058,reg1,NG_supply,CO2,57757532.43731027
90,2059,reg1,NG_supply,CO2,57757532.43731026
91,2060,reg1,NG_supply,CO2,57757532.43731027
92,2061,reg1,NG_supply,CO2,57727313.19099167
93,2062,reg1,NG_supply,CO2,57751912.877184786
94,2063,reg1,NG_supply,CO2,57770702.815927625
