Year,Actualized emission
Y0,907372520.5238695
Y1,817298724.1944054
Y2,783750383.8513588
Y3,748676297.6585268
Y4,713975718.6993507
Y5,679981741.043984
Y6,630588041.4068272
Y7,585179649.6291274
Y8,544757994.2263377
Y9,507532678.05517775
Y10,472516177.4338545
Y11,440145004.8874887
Y12,411384086.2087053
Y13,384036523.9274955
Y14,358882326.858197
Y15,335423994.6433137
Y16,312806345.47207296
Y17,291025857.44594234
Y18,269763235.6354799
Y19,251038425.72305045
Y20,232670045.95357668
Y21,217763311.90633386
Y22,202949283.5268579
Y23,189434382.89379832
Y24,175944581.64252514
Y25,163283044.25696447
Y26,154788610.76372102
Y27,146959137.8015795
Y28,139400764.45014152
Y29,132140979.546663
Y30,125251352.45754126
Y31,119288827.65747558
Y32,113608407.29283388
Y33,108198483.13603225
Y34,103163072.59804617
Y35,98045716.64174107
Y36,93465917.83697852
Y37,89015159.84474143
Y38,84776342.70927757
Y39,80739374.00883576
Y40,76894641.91317691
Y41,73209310.25581709
Y42,69617675.67768086
Y43,66308164.04842994
Y44,62507825.615719356
Y45,58818554.320741944
Y46,55762199.72537319
Y47,52923059.811969005
Y48,50467181.89053043
Y49,48221274.844093874
Y50,46248872.82648538
