Year,Actualized emission
Y0,907372520.5238696
Y1,814752458.7749863
Y2,780911736.6837298
Y3,743736844.7906084
Y4,709465734.7206582
Y5,675550754.5896455
Y6,625766367.7736468
Y7,581001911.9185932
Y8,540510395.1716778
Y9,503470026.86051047
Y10,468135805.31630856
Y11,435642227.7716864
Y12,407991962.2664995
Y13,380787321.2589258
Y14,351459179.1444083
Y15,325111247.4520197
Y16,294781146.1755268
Y17,266300109.06783608
Y18,243190653.63195196
Y19,223738677.21991926
Y20,205354827.02546722
Y21,187286735.78562626
Y22,170605097.6779289
Y23,155020528.43627152
Y24,141100544.91473275
Y25,128350965.70357703
Y26,121778293.7815962
Y27,115569219.65937974
Y28,109679550.69481136
Y29,104078124.93440248
Y30,98761058.65552524
Y31,94058747.94095978
Y32,89539648.85916282
Y33,85246432.91763034
Y34,81252066.1520664
Y35,77340930.12151621
Y36,73672067.01123875
Y37,70163873.3440369
Y38,66822736.518130384
Y39,63640675.14167437
Y40,60610166.80159463
Y41,57720487.1778692
Y42,54974591.44659168
Y43,52335282.19136168
Y44,49843532.79705759
Y45,47507421.50774915
Y46,45213955.666270666
Y47,43011385.04648456
Y48,40832123.36178819
Y49,38568292.36099283
Y50,36914517.288206704
