Year,Actualized emission
Y0,907372520.5238695
Y1,814768024.5275847
Y2,780926561.2100142
Y3,688112365.2806911
Y4,657270363.4793189
Y5,628166764.7108394
Y6,582975305.607281
Y7,540982562.7691116
Y8,501722843.9864154
Y9,462463086.6863353
Y10,432766036.0892925
Y11,403282390.0367582
Y12,376748475.9423559
Y13,351704057.5335437
Y14,328700923.6928899
Y15,307264410.82993215
Y16,285683949.0375556
Y17,264327332.08682603
Y18,242181545.45849907
Y19,222841696.38683382
Y20,204449093.60120645
Y21,189655240.98245907
Y22,174970230.74096093
Y23,161380721.86819488
Y24,148356236.28244781
Y25,136003742.2453009
Y26,128333968.036655
Y27,121679074.19274324
Y28,116299036.5738331
Y29,110325504.85861105
Y30,104572525.9081226
Y31,99589034.07629146
Y32,94839108.11958638
Y33,90241515.45353943
Y34,86017600.45081027
Y35,81663568.97960144
Y36,77749806.88798538
Y37,74028314.21805637
Y38,70503156.39814892
Y39,67142050.9996953
Y40,63835774.95914856
Y41,60840670.35947625
Y42,57943767.593723916
Y43,55169306.957263984
Y44,52560153.32398211
Y45,50166389.53476888
Y46,47628885.855508216
Y47,45480867.049824566
Y48,43651963.3601053
Y49,41969709.709606424
Y50,40461351.924517624
