Year,Actualized cost
Y0,68121070383.391655
Y1,94954019738.67676
Y2,150951875929.63223
Y3,85790387478.5124
Y4,83249067207.71413
Y5,80891682478.59029
Y6,75131719658.56805
Y7,69541843268.32741
Y8,64924464376.83905
Y9,61678781211.15013
Y10,58676891770.20122
Y11,53287121058.23809
Y12,50156190132.98262
Y13,46966825427.349976
Y14,44560825001.64621
Y15,42555183674.84897
Y16,40418733781.029594
Y17,38296006918.85214
Y18,36388501456.1217
Y19,35821264219.1855
Y20,33232895769.496025
Y21,31737197997.92878
Y22,29509688267.988693
Y23,28624243006.539864
Y24,26626455977.248493
Y25,26205192882.523613
Y26,24831869180.47143
Y27,23001888354.481205
Y28,21796168458.91144
Y29,20577979847.19688
Y30,19397910433.743572
Y31,18211157127.5937
Y32,17048776394.632215
Y33,16259885852.565756
Y34,15381456037.639513
Y35,14689901628.754631
Y36,13748263191.501814
Y37,13075063700.7554
Y38,12430710330.291006
Y39,11811413567.403353
Y40,11351579964.302998
Y41,10751472749.514402
Y42,10238508335.06021
Y43,9711500109.0037
Y44,9230936910.691824
Y45,8749105409.112305
Y46,8286893304.237455
Y47,7846815450.410988
Y48,7468516010.508132
Y49,7105269068.440178
Y50,6807739348.312563
