Year_name,,NG_supply,SFF_supply,OP_supply,BW_supply,Geo_PP,Solar_PV_PP,Wind_PP,Small_Hydro_PP,Large_Hydro_PP
2015,61,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,128630.00000000003
2015,62,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,123760.0
2015,63,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,125609.99999999997
2015,64,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,129300.0
2015,65,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,132240.0
2015,66,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,133410.0
2015,67,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,143650.0
2015,68,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,167520.0
2015,69,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,167200.0
2015,70,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,169080.0
2015,71,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,153740.0
2015,72,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,564.4166667,107280.0
2015,73,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,84020.0
2015,74,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,81490.0
2015,75,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,80490.0
2015,76,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,80440.0
2015,77,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,83540.0
2015,78,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,83570.0
2015,79,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,80370.0
2015,80,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,80260.0
2015,81,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,99700.0
2015,82,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,123340.0
2015,83,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,116500.0
2015,84,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,124420.00000000003
2015,85,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,120450.0
2015,86,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,128419.99999999997
2015,87,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,122430.0
2015,88,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,121240.0
2015,89,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,132260.0
2015,90,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,137510.0
2015,91,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,140390.0
2015,92,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,157800.0
2015,93,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,906.0833333,167360.0
