Year,Actualized emission
Y0,936567587.090291
Y1,828824095.2819138
Y2,758120757.3341782
Y3,708390292.4087493
Y4,661708819.0509273
Y5,617649670.4847932
Y6,569075457.2303184
Y7,524692366.7149345
Y8,483316368.16485745
Y9,445169351.02806115
Y10,411845141.15772504
Y11,382254602.4522816
Y12,355167828.9480698
Y13,330405260.93912464
Y14,307527227.50169164
Y15,286155257.80953294
Y16,266744612.18853813
Y17,246996289.0735375
Y18,228345059.41926324
Y19,210694188.7825834
Y20,194240601.88756198
Y21,183476155.18652558
Y22,173262498.37386107
Y23,162609794.08945626
Y24,152586461.36588123
Y25,143158284.9418149
Y26,136341223.7541094
Y27,129848784.52772327
Y28,123665509.07402214
Y29,117776675.3085925
Y30,112168262.19865951
Y31,106826916.37967578
Y32,101739920.36159591
Y33,96895162.24913897
Y34,92281106.90394191
Y35,88033160.02406584
Y36,83841104.78482461
Y37,79848671.2236425
Y38,76046353.54632619
Y39,72425098.61554874
Y40,68976284.3957607
Y41,66389024.45171348
Y42,63964585.572228864
Y43,61720654.99411134
Y44,59642825.8738328
Y45,57622929.1074264
Y46,55736855.167605676
Y47,53805343.380176514
Y48,51948886.98036809
Y49,50147008.27229193
Y50,47759055.49742086
