Year,Actualized emission
Y0,936567587.0933393
Y1,870295321.1379192
Y2,813662701.6016929
Y3,793371422.3642334
Y4,757868938.9712218
Y5,723260386.7867486
Y6,681161466.9456475
Y7,641424642.6084439
Y8,603873018.3305501
Y9,568486197.1921595
Y10,535194305.92976147
Y11,503805857.0201392
Y12,474231019.9274809
Y13,446331019.691386
Y14,420012808.5482357
Y15,395016303.9864488
Y16,369981170.84321755
Y17,347854949.4816312
Y18,327430735.8062021
Y19,308321019.18105537
Y20,290283346.95054626
Y21,275140374.4724502
Y22,260782994.76776132
Y23,247187005.07558292
Y24,234412926.29581115
Y25,222270324.40249953
Y26,211551629.98792452
Y27,201477742.84564242
Y28,191883564.6148975
Y29,182746252.0141881
Y30,174044049.537322
Y31,165756237.65459237
Y32,157863083.48056415
Y33,150345793.79101348
Y34,143186470.2771557
Y35,136368066.93062446
Y36,129874349.45773755
Y37,123689856.62641671
Y38,117799863.4537302
Y39,112190346.1464097
Y40,106847948.71086638
Y41,101759951.15320608
Y42,96914239.19352959
Y43,92299275.42240913
Y44,87904071.83086585
Y45,83718163.64844365
Y46,79731584.42708918
Y47,75956565.30767912
Y48,72429995.20145193
Y49,69035617.81708845
Y50,65843156.726284385
