Year,Actualized cost
Y0,68148060103.0502
Y1,94974693458.7047
Y2,155867372933.1497
Y3,88565201262.2179
Y4,85719966701.21304
Y5,83291640919.86023
Y6,76973141712.44028
Y7,70933871675.41931
Y8,66502198022.816505
Y9,63556617301.96287
Y10,61038742032.731186
Y11,54543139103.54104
Y12,51850103263.86677
Y13,48333186024.01667
Y14,45991060404.16914
Y15,43826382487.48996
Y16,41448332825.713936
Y17,39111207192.23427
Y18,36860718935.302505
Y19,36525275380.904045
Y20,33324598512.985073
Y21,31749754528.667126
Y22,30112876181.546135
Y23,28653070133.97951
Y24,26778289932.861042
Y25,26745778368.027687
Y26,25118403526.24092
Y27,23703821848.8308
Y28,22008748843.289555
Y29,20755210149.85586
Y30,19645865287.655037
Y31,18424973159.984947
Y32,17098670041.049355
Y33,16301317140.607754
Y34,15557861190.591066
Y35,14948891425.804121
Y36,13900983189.562124
Y37,13209417952.036045
Y38,12527997481.629372
Y39,11918384710.391792
Y40,11484071071.671621
Y41,10902376251.443987
Y42,10392278088.856632
Y43,9844788656.192545
Y44,9354675047.440247
Y45,8851106030.372232
Y46,8385699578.066842
Y47,7939650263.398569
Y48,7556395038.6839
Y49,7193298234.158719
Y50,6894916537.545484
