Year,Actualized emission
Y0,936567587.090291
Y1,828824095.2819135
Y2,758120757.3341782
Y3,708721526.5457275
Y4,662037141.3809822
Y5,617947332.4033812
Y6,569912582.6965841
Y7,525541138.8595514
Y8,484354690.8077239
Y9,445945892.4261639
Y10,410990288.89368814
Y11,380128295.6194715
Y12,351548110.6595697
Y13,325484996.4520554
Y14,300949535.07310796
Y15,278347631.0636744
Y16,255366815.97954175
Y17,234020026.62426412
Y18,214201278.16843644
Y19,195715861.12213862
Y20,178770861.35024118
Y21,167799614.95328063
Y22,157461845.07880756
Y23,147741564.8385977
Y24,138602188.98529935
Y25,130000729.87336293
Y26,123810218.92701232
Y27,117914494.21620221
Y28,112299518.30114494
Y29,106951922.1915666
Y30,101858973.51577772
Y31,97008546.2055026
Y32,92389091.62428819
Y33,87989611.07075065
Y34,83799629.59119108
Y35,79809171.0392296
Y36,76008734.32307579
Y37,72389270.78388171
Y38,68942162.65131591
Y39,65659202.52506278
Y40,62532573.833393104
Y41,59573383.85244873
Y42,56736556.049951166
Y43,54034815.28566777
Y44,51461728.84349311
Y45,49011170.32713629
Y46,46677305.07346314
Y47,44450091.39982633
Y48,42333420.38078698
Y49,40317543.21979713
Y50,38397660.209330596
