Year,Actualized cost
Y0,68148060102.790985
Y1,94974693511.80714
Y2,158993382556.75964
Y3,91125543157.83992
Y4,88182723730.97781
Y5,85496865102.83076
Y6,80486635460.93965
Y7,73683111384.9592
Y8,69067328265.37163
Y9,64684240134.77264
Y10,60114669734.98841
Y11,56363593065.38335
Y12,59608812346.614624
Y13,48316440918.49216
Y14,44728428655.68213
Y15,43799805798.973976
Y16,42800691731.1421
Y17,40903941852.43334
Y18,38404201422.39575
Y19,38166257141.458496
Y20,33967347275.727085
Y21,31394912237.922626
Y22,30893938761.38144
Y23,29548528257.739468
Y24,26830608091.41466
Y25,25906491003.146935
Y26,24104573936.896835
Y27,22905934693.192867
Y28,21274191218.959362
Y29,20119067521.930405
Y30,19098569250.594414
Y31,18176333566.755207
Y32,16787153146.790373
Y33,16001802676.108036
Y34,15174479655.51232
Y35,14156532398.877287
Y36,13485301485.415916
Y37,12827881374.346075
Y38,12164227746.557655
Y39,11567819343.466578
Y40,11184617706.031523
Y41,10608562885.855663
Y42,10279421568.234043
Y43,9571076845.966
Y44,9096001499.819006
Y45,8590303549.7857
Y46,8121298440.842495
Y47,7671158877.027132
Y48,7333729087.9850445
Y49,7054916110.180457
Y50,6784273049.668732
