Year_name,,Electricity_demand
2015,1,83342.20833
2015,2,78188.20833
2015,3,72696.20833
2015,4,70681.20833
2015,5,69368.20833
2015,6,72553.20833
2015,7,75391.20833
2015,8,76178.20833
2015,9,84927.20833
2015,10,87777.20833
2015,11,92127.20833
2015,12,89383.20833
2015,13,89027.20833
2015,14,88837.20833
2015,15,86737.20833
2015,16,84136.20833
2015,17,82235.20833
2015,18,80063.20833
2015,19,94639.20833
2015,20,122837.2083
2015,21,126453.2083
2015,22,118705.2083
2015,23,97205.20833
2015,24,76995.20833
2015,25,65756.0
2015,26,60114.0
2015,27,58579.0
2015,28,58713.0
2015,29,59556.0
2015,30,62992.0
2015,31,69347.0
2015,32,80224.0
2015,33,87775.0
2015,34,92126.0
2015,35,93626.0
2015,36,92076.0
2015,37,94208.0
2015,38,93206.0
2015,39,92254.0
2015,40,95504.0
2015,41,96152.0
2015,42,92052.0
2015,43,102502.0
2015,44,138798.0
2015,45,135713.0
2015,46,127994.0
2015,47,107344.0
2015,48,86064.0
2015,49,72822.04167
2015,50,69330.04167
2015,51,67694.04167
2015,52,66381.04167
2015,53,66615.04167
2015,54,72602.04167
2015,55,78466.04167
2015,56,85832.04167
2015,57,96781.04167
2015,58,102231.0417
2015,59,105331.0417
2015,60,100863.0417
2015,61,101114.0417
2015,62,100175.0417
2015,63,101625.0417
2015,64,101224.0417
2015,65,96373.04167
2015,66,95625.04167
2015,67,104079.0417
2015,68,134295.0417
2015,69,131910.0417
2015,70,125220.0417
2015,71,104718.0417
2015,72,83497.04167
2015,73,73970.79167
2015,74,68129.79167
2015,75,66543.79167
2015,76,64077.79167
2015,77,64811.79167
2015,78,68147.79167
2015,79,76981.79167
2015,80,80675.79167
2015,81,89971.79167
2015,82,93881.79167
2015,83,90881.79167
2015,84,88631.79167
2015,85,85391.79167
2015,86,79294.79167
2015,87,77395.79167
2015,88,80395.79167
2015,89,78945.79167
2015,90,79765.79167
2015,91,93758.79167
2015,92,122534.7917
2015,93,124347.7917
2015,94,110439.7917
2015,95,91989.79167
2015,96,71939.79167
2015,97,60463.5
2015,98,56268.5
2015,99,52432.5
2015,100,52668.5
2015,101,54020.5
2015,102,61056.5
2015,103,73150.5
2015,104,81968.5
2015,105,88518.5
2015,106,92217.5
2015,107,92118.5
2015,108,92118.5
2015,109,91874.5
2015,110,93022.5
2015,111,95220.5
2015,112,94821.5
2015,113,96924.5
2015,114,95074.5
2015,115,102272.5
2015,116,140448.5
2015,117,141461.5
2015,118,127741.5
2015,119,107895.5
2015,120,86596.5
2015,121,76069.0
2015,122,70976.0
2015,123,69488.0
2015,124,68963.0
2015,125,69817.0
2015,126,78452.0
2015,127,89613.0
2015,128,99845.0
2015,129,103648.0
2015,130,104953.0
2015,131,105637.0
2015,132,105210.0
2015,133,106018.0
2015,134,102647.0
2015,135,103448.0
2015,136,105400.0
2015,137,101701.0
2015,138,99995.0
2015,139,108744.0
2015,140,142944.0
2015,141,143307.0
2015,142,133532.0
2015,143,105433.0
2015,144,84241.0
2015,145,76218.66667
2015,146,70977.66667
2015,147,66641.66667
2015,148,67328.66667
2015,149,70314.66667
2015,150,81606.66667
2015,151,91489.66667
2015,152,97457.66667
2015,153,103308.6667
2015,154,105419.6667
2015,155,105166.6667
2015,156,104965.6667
2015,157,104967.6667
2015,158,100807.6667
2015,159,99259.66667
2015,160,96560.66667
2015,161,101161.6667
2015,162,98553.66667
2015,163,106471.6667
2015,164,145212.6667
2015,165,144975.6667
2015,166,131767.6667
2015,167,108017.6667
2015,168,86318.66667
2015,169,76493.41667
2015,170,74952.41667
2015,171,70618.41667
2015,172,71055.41667
2015,173,73639.41667
2015,174,82225.41667
2015,175,95317.41667
2015,176,100619.4167
2015,177,101802.4167
2015,178,105263.4167
2015,179,105215.4167
2015,180,106846.4167
2015,181,104140.4167
2015,182,99713.41667
2015,183,102911.4167
2015,184,103714.4167
2015,185,102267.4167
2015,186,99699.41667
2015,187,112697.4167
2015,188,145857.4167
2015,189,144874.4167
2015,190,134375.4167
2015,191,105727.4167
2015,192,88580.41667
2015,193,76661.375
2015,194,74120.375
2015,195,72087.375
2015,196,73225.375
2015,197,72063.375
2015,198,80800.375
2015,199,93711.375
