Year,Actualized cost
Y0,50633370262.485054
Y1,101321597128.58644
Y2,159237450196.76053
Y3,129810778884.3687
Y4,122618711661.41484
Y5,115906204884.38275
Y6,108596518800.17606
Y7,101688451174.54257
Y8,95279911035.24323
Y9,89324996233.9075
Y10,83243447405.2264
Y11,74687724015.07094
Y12,67669202129.60864
Y13,62297133038.59525
Y14,57942708811.06152
Y15,54101172293.983246
Y16,51108832551.48576
Y17,48880319412.86477
Y18,46631764824.85092
Y19,44299051750.44292
Y20,42314642487.92034
Y21,40168922208.99279
Y22,38642316847.24743
Y23,37180929233.76259
Y24,35771925858.98057
Y25,34421166068.123795
Y26,32385001974.81729
Y27,30816573517.487232
Y28,29339991722.170246
Y29,27899805544.870335
Y30,26538484297.29709
Y31,24796864845.834293
Y32,23562719536.20289
Y33,22386129547.038418
Y34,21266644908.052628
Y35,20058181595.66393
Y36,18715449204.10818
Y37,17780253668.36905
Y38,16903711723.120096
Y39,16069334779.62927
Y40,15280597839.57665
Y41,14846877018.418922
Y42,14127851233.342272
Y43,13474831880.695326
Y44,12744123981.994827
Y45,12133481971.944906
Y46,11405045030.792156
Y47,10812639547.776978
Y48,10228293639.305916
Y49,9665264559.265436
Y50,9130997684.977753
