Year,Actualized cost
Y0,68148839607.86262
Y1,94972932220.73656
Y2,152774550112.51642
Y3,99873264891.11237
Y4,96588519598.63853
Y5,93725379336.43578
Y6,86692233715.61705
Y7,79965381910.06062
Y8,74877642018.16412
Y9,71354079271.57927
Y10,68239981679.79078
Y11,61639009715.40205
Y12,57650770413.93089
Y13,54129807274.22685
Y14,51297599870.030304
Y15,48954393007.50044
Y16,46176749841.29422
Y17,43775347350.4648
Y18,41744229888.11895
Y19,40304678891.334335
Y20,37254808241.76149
Y21,35303542636.40168
Y22,33699686218.468723
Y23,31541464174.768845
Y24,29646717268.086826
Y25,29256973211.60821
Y26,27629438239.864277
Y27,26087379038.62051
Y28,24336358044.88235
Y29,23012385361.599007
Y30,21739736395.082447
Y31,20356922949.75734
Y32,18967564590.331146
Y33,18109320304.25206
Y34,17321528661.889194
Y35,16591465107.16529
Y36,15451355424.588573
Y37,14694937844.05305
Y38,13978439640.891142
Y39,13299643975.577244
Y40,12768942257.801933
Y41,12097773488.71895
Y42,11516373470.612766
Y43,10952982310.256716
Y44,10409355429.455046
Y45,9871898882.289606
Y46,9339899279.573534
Y47,8842772536.51033
Y48,8395677145.191067
Y49,8016779747.498958
Y50,7677589798.842325
