Year,Actualized emission
Y0,936567587.0902913
Y1,828824095.2819138
Y2,758120757.3341782
Y3,705047677.6658682
Y4,658590158.0351521
Y5,614866375.4987285
Y6,566311857.9866449
Y7,521473070.61885905
Y8,480219888.0582733
Y9,442241621.2310573
Y10,407983995.6205735
Y11,377601725.3108616
Y12,349980621.5701723
Y13,325413612.4042995
Y14,302910367.7651882
Y15,282100127.1024073
Y16,261274651.1165442
Y17,241698488.97298422
Y18,222612293.33061656
Y19,204952192.28637224
Y20,188857771.3368801
Y21,178406627.51867586
Y22,168511121.6386944
Y23,158217456.50541937
Y24,148527807.2353071
Y25,139409765.81024742
Y26,132771205.53356892
Y27,126448767.17482764
Y28,120427397.3093596
Y29,114692759.3422472
Y30,109231199.37356879
Y31,104029713.68911317
Y32,99075917.79915537
Y33,94358016.95157653
Y34,89864778.04912052
Y35,85585502.90392432
Y36,81510002.76564215
Y37,77628574.06251632
Y38,73931975.2976346
Y39,70411405.0453663
Y40,67058480.995586924
Y41,63865219.99579712
Y42,60824019.04361626
Y43,57927637.18439638
Y44,55169178.27085374
Y45,52588730.49414175
Y46,50084505.23251596
Y47,47699528.79287233
Y48,45428122.65987842
Y49,43264878.72369374
Y50,41204646.40351785
