Year,Actualized cost
Y0,26091543497.00974
Y1,37909749576.406364
Y2,62592593718.09174
Y3,35672392013.57359
Y4,36640706925.59429
Y5,35718667994.88818
Y6,34841343638.67157
Y7,33470545967.24673
Y8,32004072523.42952
Y9,32305674399.82221
Y10,29341008915.474697
Y11,28271623789.328644
Y12,27156451642.801517
Y13,25621183039.136326
Y14,24531498554.736477
Y15,23811862199.925045
Y16,22876278486.085953
Y17,22435192229.543823
Y18,21498589921.449364
Y19,20391060855.196415
Y20,19441847916.70135
Y21,18915499988.56649
Y22,18339109031.199986
Y23,18014144092.512733
Y24,17912498586.614727
Y25,16969769831.175968
Y26,16896490285.35982
Y27,16313311814.81521
Y28,15997304194.63645
Y29,15963229284.458654
Y30,15309540536.226007
