Year,Actualized cost
Y0,50633370262.529076
Y1,101321597128.70963
Y2,159237450196.89438
Y3,135582686858.2893
Y4,127784559241.78271
Y5,120507792423.60297
Y6,112753036601.04347
Y7,105460645073.65631
Y8,98699687103.08536
Y9,92425993457.32416
Y10,86079059838.22823
Y11,77595412669.0455
Y12,70126673962.67458
Y13,64294246692.20066
Y14,59735183721.04515
Y15,55707317116.47952
Y16,53663581873.80652
Y17,51732400306.255554
Y18,48856067908.68674
Y19,46883806270.540596
Y20,45085689383.576324
Y21,42978775809.27009
Y22,42114399699.46246
Y23,40882127046.955666
Y24,39666863128.032486
Y25,38504037485.673035
Y26,36077019156.32853
Y27,34333044928.505993
Y28,32689061909.75521
Y29,31089208763.686443
Y30,29576450052.084232
Y31,27689656914.59948
Y32,26317966900.374348
Y33,25010213672.350666
Y34,23765625785.413784
Y35,22563287883.21798
Y36,21068888487.584118
Y37,19894053499.40377
Y38,18927675845.069763
Y39,17996804588.215584
Y40,17116552805.643
Y41,16757643982.306452
Y42,15951253521.533663
Y43,15078875715.03781
Y44,14288841307.7712
Y45,13545411509.823606
Y46,12811214549.20639
Y47,12159594819.060402
Y48,11497802774.197088
Y49,10866960529.023767
Y50,10265447463.716644
