Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150186
Y2,783750383.9971008
Y3,748676297.4518554
Y4,713975718.6886249
Y5,679981741.0037568
Y6,630588041.4541392
Y7,585179649.6410687
Y8,544757994.31396
Y9,507528716.86826175
Y10,472512405.0208354
Y11,440139141.8852391
Y12,411379831.58333766
Y13,384033152.5091004
Y14,358879356.48180425
Y15,335344299.6493859
Y16,315314173.6806018
Y17,296309607.1939806
Y18,277155734.9554216
Y19,259877304.15765902
Y20,243507871.43085846
Y21,229765584.07145783
Y22,215168396.92492104
Y23,201914587.0651753
Y24,187434667.51014748
Y25,174035257.8604711
Y26,163723797.99917394
Y27,155156269.83108142
Y28,147033440.94884077
Y29,139335037.6298274
Y30,132038405.48436603
Y31,125752720.91735016
Y32,119764574.56434041
Y33,114061630.37494579
Y34,108780785.7041748
Y35,103365014.79512057
Y36,98532327.89774218
Y37,93840312.28356396
Y38,89371725.98434663
Y39,85115929.50890154
Y40,81062790.00847767
Y41,77195876.50948225
Y42,73504348.70454063
Y43,69961591.04780139
Y44,66232430.74985011
Y45,63136662.96457679
Y46,60030327.91661481
Y47,56922316.40760095
Y48,54139372.14358993
Y49,51557358.32018636
Y50,49090093.5566327
