Year,Actualized cost
Y0,68121070383.391655
Y1,94954019738.67676
Y2,150951875929.63223
Y3,85790387478.5124
Y4,83249067207.71413
Y5,80891682478.59029
Y6,75131719658.56805
Y7,69541843268.32742
Y8,64924010348.57867
Y9,61678874717.570305
Y10,58530889315.25716
Y11,53304809426.29046
Y12,50253390266.79895
Y13,46979403142.09234
Y14,44577730062.34845
Y15,42547039481.76385
Y16,40469191487.48761
Y17,38306509892.046196
Y18,36452933878.42036
Y19,35793077647.56088
Y20,33108508987.04319
Y21,31221485508.839283
Y22,30046289520.326817
Y23,28550982551.609318
Y24,26826173750.53841
Y25,26223336872.11612
Y26,24849481015.2165
Y27,23018724651.11891
Y28,21786661392.709965
Y29,20608367313.645535
Y30,19413076011.039543
Y31,18224129383.594376
Y32,17061713823.563984
Y33,16272216589.09369
Y34,15402301572.09504
Y35,14677776563.104897
Y36,13758973591.251657
Y37,13081964702.814013
Y38,12425052820.497475
Y39,11829987444.058521
Y40,11361690562.118296
Y41,10761821635.20179
Y42,10250639866.229269
Y43,9719408054.401783
Y44,9240995522.280725
Y45,8755199639.761925
Y46,8291537439.559838
Y47,7851925988.153839
Y48,7467669445.686486
Y49,7111369832.766947
Y50,6812385564.927903
