,Datetime,Region,Technology,Cost,Value
100,2015,reg4,OP_supply,variable_cost,0.0
101,2015,reg4,BW_supply,variable_cost,0.0
102,2015,reg4,Geo_PP,variable_cost,0.0
103,2015,reg4,Solar_PV_PP,variable_cost,0.0
104,2015,reg4,Wind_PP,variable_cost,0.0
105,2015,reg4,Small_Hydro_PP,variable_cost,0.0
106,2015,reg4,Large_Hydro_PP,variable_cost,951030.345
107,2015,reg4,SFF_PP,variable_cost,0.0
108,2015,reg4,Oil_PP,variable_cost,0.0
109,2015,reg4,NG_PP,variable_cost,0.0
110,2015,reg4,BW_PP,variable_cost,0.0
111,2015,reg4,Elec_transmission_distribution,variable_cost,0.0
112,2015,reg1,NG_supply,fix_tax_cost,0.0
113,2015,reg1,SFF_supply,fix_tax_cost,0.0
114,2015,reg1,OP_supply,fix_tax_cost,0.0
115,2015,reg1,BW_supply,fix_tax_cost,0.0
116,2015,reg1,Geo_PP,fix_tax_cost,0.0
117,2015,reg1,Solar_PV_PP,fix_tax_cost,0.0
118,2015,reg1,Wind_PP,fix_tax_cost,0.0
119,2015,reg1,Small_Hydro_PP,fix_tax_cost,0.0
120,2015,reg1,Large_Hydro_PP,fix_tax_cost,0.0
121,2015,reg1,SFF_PP,fix_tax_cost,0.0
122,2015,reg1,Oil_PP,fix_tax_cost,0.0
123,2015,reg1,NG_PP,fix_tax_cost,0.0
124,2015,reg1,BW_PP,fix_tax_cost,0.0
125,2015,reg1,Elec_transmission_distribution,fix_tax_cost,0.0
126,2015,reg2,NG_supply,fix_tax_cost,0.0
127,2015,reg2,SFF_supply,fix_tax_cost,0.0
128,2015,reg2,OP_supply,fix_tax_cost,0.0
129,2015,reg2,BW_supply,fix_tax_cost,0.0
130,2015,reg2,Geo_PP,fix_tax_cost,0.0
131,2015,reg2,Solar_PV_PP,fix_tax_cost,0.0
132,2015,reg2,Wind_PP,fix_tax_cost,0.0
133,2015,reg2,Small_Hydro_PP,fix_tax_cost,0.0
134,2015,reg2,Large_Hydro_PP,fix_tax_cost,0.0
135,2015,reg2,SFF_PP,fix_tax_cost,0.0
136,2015,reg2,Oil_PP,fix_tax_cost,0.0
137,2015,reg2,NG_PP,fix_tax_cost,0.0
138,2015,reg2,BW_PP,fix_tax_cost,0.0
139,2015,reg2,Elec_transmission_distribution,fix_tax_cost,0.0
140,2015,reg3,NG_supply,fix_tax_cost,0.0
141,2015,reg3,SFF_supply,fix_tax_cost,0.0
142,2015,reg3,OP_supply,fix_tax_cost,0.0
143,2015,reg3,BW_supply,fix_tax_cost,0.0
144,2015,reg3,Geo_PP,fix_tax_cost,0.0
145,2015,reg3,Solar_PV_PP,fix_tax_cost,0.0
146,2015,reg3,Wind_PP,fix_tax_cost,0.0
147,2015,reg3,Small_Hydro_PP,fix_tax_cost,0.0
148,2015,reg3,Large_Hydro_PP,fix_tax_cost,0.0
149,2015,reg3,SFF_PP,fix_tax_cost,0.0
150,2015,reg3,Oil_PP,fix_tax_cost,0.0
151,2015,reg3,NG_PP,fix_tax_cost,0.0
152,2015,reg3,BW_PP,fix_tax_cost,0.0
153,2015,reg3,Elec_transmission_distribution,fix_tax_cost,0.0
154,2015,reg4,NG_supply,fix_tax_cost,0.0
155,2015,reg4,SFF_supply,fix_tax_cost,0.0
156,2015,reg4,OP_supply,fix_tax_cost,0.0
157,2015,reg4,BW_supply,fix_tax_cost,0.0
158,2015,reg4,Geo_PP,fix_tax_cost,0.0
159,2015,reg4,Solar_PV_PP,fix_tax_cost,0.0
160,2015,reg4,Wind_PP,fix_tax_cost,0.0
161,2015,reg4,Small_Hydro_PP,fix_tax_cost,0.0
162,2015,reg4,Large_Hydro_PP,fix_tax_cost,0.0
163,2015,reg4,SFF_PP,fix_tax_cost,0.0
164,2015,reg4,Oil_PP,fix_tax_cost,0.0
165,2015,reg4,NG_PP,fix_tax_cost,0.0
166,2015,reg4,BW_PP,fix_tax_cost,0.0
167,2015,reg4,Elec_transmission_distribution,fix_tax_cost,0.0
168,2015,reg1,NG_supply,fix_sub_cost,0.0
169,2015,reg1,SFF_supply,fix_sub_cost,0.0
170,2015,reg1,OP_supply,fix_sub_cost,0.0
171,2015,reg1,BW_supply,fix_sub_cost,0.0
172,2015,reg1,Geo_PP,fix_sub_cost,0.0
173,2015,reg1,Solar_PV_PP,fix_sub_cost,0.0
174,2015,reg1,Wind_PP,fix_sub_cost,0.0
175,2015,reg1,Small_Hydro_PP,fix_sub_cost,0.0
176,2015,reg1,Large_Hydro_PP,fix_sub_cost,0.0
177,2015,reg1,SFF_PP,fix_sub_cost,0.0
178,2015,reg1,Oil_PP,fix_sub_cost,0.0
179,2015,reg1,NG_PP,fix_sub_cost,0.0
180,2015,reg1,BW_PP,fix_sub_cost,0.0
181,2015,reg1,Elec_transmission_distribution,fix_sub_cost,0.0
182,2015,reg2,NG_supply,fix_sub_cost,0.0
183,2015,reg2,SFF_supply,fix_sub_cost,0.0
184,2015,reg2,OP_supply,fix_sub_cost,0.0
185,2015,reg2,BW_supply,fix_sub_cost,0.0
186,2015,reg2,Geo_PP,fix_sub_cost,0.0
187,2015,reg2,Solar_PV_PP,fix_sub_cost,0.0
188,2015,reg2,Wind_PP,fix_sub_cost,0.0
189,2015,reg2,Small_Hydro_PP,fix_sub_cost,0.0
190,2015,reg2,Large_Hydro_PP,fix_sub_cost,0.0
191,2015,reg2,SFF_PP,fix_sub_cost,0.0
192,2015,reg2,Oil_PP,fix_sub_cost,0.0
193,2015,reg2,NG_PP,fix_sub_cost,0.0
194,2015,reg2,BW_PP,fix_sub_cost,0.0
195,2015,reg2,Elec_transmission_distribution,fix_sub_cost,0.0
196,2015,reg3,NG_supply,fix_sub_cost,0.0
197,2015,reg3,SFF_supply,fix_sub_cost,0.0
198,2015,reg3,OP_supply,fix_sub_cost,0.0
199,2015,reg3,BW_supply,fix_sub_cost,0.0
200,2015,reg3,Geo_PP,fix_sub_cost,0.0
201,2015,reg3,Solar_PV_PP,fix_sub_cost,0.0
202,2015,reg3,Wind_PP,fix_sub_cost,0.0
203,2015,reg3,Small_Hydro_PP,fix_sub_cost,0.0
204,2015,reg3,Large_Hydro_PP,fix_sub_cost,0.0
205,2015,reg3,SFF_PP,fix_sub_cost,0.0
206,2015,reg3,Oil_PP,fix_sub_cost,0.0
207,2015,reg3,NG_PP,fix_sub_cost,0.0
208,2015,reg3,BW_PP,fix_sub_cost,0.0
209,2015,reg3,Elec_transmission_distribution,fix_sub_cost,0.0
210,2015,reg4,NG_supply,fix_sub_cost,0.0
211,2015,reg4,SFF_supply,fix_sub_cost,0.0
212,2015,reg4,OP_supply,fix_sub_cost,0.0
213,2015,reg4,BW_supply,fix_sub_cost,0.0
214,2015,reg4,Geo_PP,fix_sub_cost,0.0
215,2015,reg4,Solar_PV_PP,fix_sub_cost,0.0
216,2015,reg4,Wind_PP,fix_sub_cost,0.0
217,2015,reg4,Small_Hydro_PP,fix_sub_cost,0.0
218,2015,reg4,Large_Hydro_PP,fix_sub_cost,0.0
219,2015,reg4,SFF_PP,fix_sub_cost,0.0
220,2015,reg4,Oil_PP,fix_sub_cost,0.0
221,2015,reg4,NG_PP,fix_sub_cost,0.0
222,2015,reg4,BW_PP,fix_sub_cost,0.0
223,2015,reg4,Elec_transmission_distribution,fix_sub_cost,0.0
224,2015,reg1,NG_supply,CO2_emission_cost,0.0
225,2015,reg1,SFF_supply,CO2_emission_cost,0.0
226,2015,reg1,OP_supply,CO2_emission_cost,0.0
227,2015,reg1,BW_supply,CO2_emission_cost,0.0
228,2015,reg1,Geo_PP,CO2_emission_cost,0.0
229,2015,reg1,Solar_PV_PP,CO2_emission_cost,0.0
230,2015,reg1,Wind_PP,CO2_emission_cost,0.0
