Year,Actualized cost
Y0,68148060102.790985
Y1,94974693511.80714
Y2,158993382556.75964
Y3,91125543157.83992
Y4,88182723730.97781
Y5,85496865102.83075
Y6,80486635460.93965
Y7,73683111384.9592
Y8,69067328265.37163
Y9,64731716614.17835
Y10,60107581893.206085
Y11,56357953481.11176
Y12,59366214803.01954
Y13,48885106359.49687
Y14,46327320322.7132
Y15,45633353944.09716
Y16,42817578046.42505
Y17,41144599789.87522
Y18,38885707260.9787
Y19,37971238925.19022
Y20,34270912853.737564
Y21,32623230978.144905
Y22,31221984343.812374
Y23,29113335364.847584
Y24,27656919537.32028
Y25,26378761455.54243
Y26,24645831663.041237
Y27,23375468828.187103
Y28,21967033478.177616
Y29,20719721245.981033
Y30,19597479900.094364
Y31,18640190916.56585
Y32,17203818270.553955
Y33,16383787596.47103
Y34,15474209195.987679
Y35,14548736887.315798
Y36,13868157361.177708
Y37,13191339436.64905
Y38,12567306387.017197
Y39,11908309558.802305
Y40,11442162392.280016
Y41,10927776876.551538
Y42,10634416844.571209
Y43,9870345016.455507
Y44,9302228710.970942
Y45,8826427222.612232
Y46,8344887690.829968
Y47,7912165731.352167
Y48,7527579107.440794
Y49,7265779389.274525
Y50,6994677817.38296
